Game_ID,date,GameId,home_team,visiting_team,home_open,visiting_open,Game_Number
20150405CHCSTL1,20150405,17118,CHC,STL,,,1
20150406NYYTOR1,20150406,17121,NYY,TOR,,,1
20150406DETMIN1,20150406,17122,DET,MIN,,,1
20150406MILCOL1,20150406,17127,MIL,COL,,,1
20150406PHIBOS1,20150406,17128,PHI,BOS,,,1
20150406TBBAL1,20150406,17123,TB,BAL,,,1
20150406WSHNYM1,20150406,17129,WSH,NYM,,,1
20150406KCCHW1,20150406,17119,KC,CHW,,,1
20150406SEALAA1,20150406,17124,SEA,LAA,,,1
20150406MIAATL1,20150406,17126,MIA,ATL,,,1
20150406CINPIT1,20150406,17130,CIN,PIT,,,1
20150406LADSD1,20150406,17131,LAD,SD,,,1
20150406HOUCLE1,20150406,17120,HOU,CLE,,,1
20150406ARISF1,20150406,17132,ARI,SF,,,1
20150406OAKTEX1,20150406,17125,OAK,TEX,,,1
20150407TBBAL1,20150407,17133,TB,BAL,,,1
20150407MIAATL1,20150407,17136,MIA,ATL,,,1
20150407CHCSTL1,20150407,17137,CHC,STL,,,1
20150407MILCOL1,20150407,17138,MIL,COL,,,1
20150407ARISF1,20150407,17139,ARI,SF,,,1
20150407OAKTEX1,20150407,17134,OAK,TEX,,,1
20150407SEALAA1,20150407,17135,SEA,LAA,,,1
20150407LADSD1,20150407,17140,LAD,SD,,,1
20150408DETMIN1,20150408,17143,DET,MIN,,,1
20150408CHCSTL1,20150408,17149,CHC,STL,,,1
20150408PHIBOS1,20150408,17151,PHI,BOS,,,1
20150408NYYTOR1,20150408,17144,NYY,TOR,,,1
20150408WSHNYM1,20150408,17150,WSH,NYM,,,1
20150408TBBAL1,20150408,17145,TB,BAL,,,1
20150408MIAATL1,20150408,17148,MIA,ATL,,,1
20150408CINPIT1,20150408,17152,CIN,PIT,,,1
20150408KCCHW1,20150408,17141,KC,CHW,,,1
20150408HOUCLE1,20150408,17142,HOU,CLE,,,1
20150408MILCOL1,20150408,17153,MIL,COL,,,1
20150408ARISF1,20150408,17154,ARI,SF,,,1
20150408LADSD1,20150408,17155,LAD,SD,,,1
20150408OAKTEX1,20150408,17146,OAK,TEX,,,1
20150408SEALAA1,20150408,17147,SEA,LAA,,,1
20150409CHCSTL1,20150409,17161,CHC,STL,,,1
20150409CINPIT1,20150409,17163,CIN,PIT,,,1
20150409WSHNYM1,20150409,17164,WSH,NYM,,,1
20150409DETMIN1,20150409,17158,DET,MIN,,,1
20150409KCCHW1,20150409,17156,KC,CHW,,,1
20150409HOUCLE1,20150409,17157,HOU,CLE,,,1
20150409OAKTEX1,20150409,17159,OAK,TEX,,,1
20150409SDSF1,20150409,17162,SD,SF,,,1
20150409NYYTOR1,20150409,17160,NYY,TOR,,,1
20150409PHIBOS1,20150409,17165,PHI,BOS,,,1
20150410BALTOR1,20150410,17170,BAL,TOR,,,1
20150410TEXHOU1,20150410,17169,TEX,HOU,,,1
20150410CHWMIN1,20150410,17167,CHW,MIN,,,1
20150410CLEDET1,20150410,17168,CLE,DET,,,1
20150410COLCHC1,20150410,17175,COL,CHC,,,1
20150410NYYBOS1,20150410,17171,NYY,BOS,,,1
20150410PHIWSH1,20150410,17176,PHI,WSH,,,1
20150410MIATB1,20150410,17174,MIA,TB,,,1
