Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,23,28.7,4.07,93,69,0.574,3.66,162,162,160,2,11,1,43,1441.0,1309,659,586,171,516,45,1482,38,5,82,6072,128,3.8,1.266,8.2,1.1,3.2,9.3,2.87,1090
Atlanta Braves,26,29.4,5.07,72,90,0.444,4.72,162,162,162,0,6,0,36,1441.1,1463,821,756,192,584,39,1258,70,5,58,6306,93,4.51,1.42,9.1,1.2,3.6,7.9,2.15,1161
Chicago Cubs,28,30.8,4.29,92,70,0.568,3.95,162,162,160,2,8,1,38,1447.1,1294,695,636,194,554,29,1439,66,4,73,6108,112,4.2,1.277,8.0,1.2,3.4,8.9,2.6,1071
Cincinnati Reds,31,27.6,5.36,68,94,0.42,5.17,162,162,160,2,8,1,33,1430.0,1442,869,821,248,631,37,1300,77,7,62,6286,87,5.08,1.45,9.1,1.6,4.0,8.2,2.06,1127
Colorado Rockies,21,27.0,4.67,87,75,0.537,4.51,162,162,161,1,9,1,47,1437.2,1453,757,721,190,532,20,1270,50,10,69,6177,112,4.32,1.381,9.1,1.2,3.3,8.0,2.39,1107
Los Angeles Dodgers,26,29.7,3.58,104,58,0.642,3.38,162,162,160,2,16,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,123,3.67,1.155,7.6,1.1,2.8,9.6,3.5,1011
Miami Marlins,24,28.7,5.07,77,85,0.475,4.82,162,162,161,1,7,1,34,1442.2,1450,822,772,193,627,59,1202,75,3,57,6318,83,4.69,1.44,9.0,1.2,3.9,7.5,1.92,1168
Milwaukee Brewers,30,28.3,4.3,86,76,0.531,4.0,162,162,161,1,12,0,54,1445.2,1381,697,642,185,553,45,1346,64,2,50,6164,110,4.24,1.338,8.6,1.2,3.4,8.4,2.43,1130
New York Mets,29,27.5,5.33,70,92,0.432,5.01,162,162,160,2,5,0,34,1434.2,1538,863,799,220,593,51,1374,55,5,55,6378,83,4.59,1.485,9.6,1.4,3.7,8.6,2.32,1211
Philadelphia Phillies,31,26.8,4.83,66,96,0.407,4.55,162,162,161,1,7,0,33,1441.0,1471,782,729,221,527,39,1309,63,11,50,6235,95,4.56,1.387,9.2,1.4,3.3,8.2,2.48,1130
Pittsburgh Pirates,24,27.1,4.51,75,87,0.463,4.22,162,162,160,2,12,1,36,1440.2,1464,731,676,182,511,32,1262,58,2,58,6208,101,4.23,1.371,9.1,1.1,3.2,7.9,2.47,1155
San Diego Padres,32,27.7,5.04,71,91,0.438,4.67,162,162,160,2,12,1,45,1430.2,1417,816,742,226,554,28,1325,75,11,73,6169,90,4.67,1.378,8.9,1.4,3.5,8.3,2.39,1061
San Francisco Giants,22,28.9,4.79,64,98,0.395,4.5,162,162,159,3,5,2,32,1452.0,1515,776,726,182,496,42,1234,50,3,55,6287,95,4.22,1.385,9.4,1.1,3.1,7.6,2.49,1155
St. Louis Cardinals,25,28.3,4.35,83,79,0.512,4.01,162,162,159,3,12,3,43,1450.1,1393,705,646,183,493,50,1351,67,0,38,6153,106,4.09,1.3,8.6,1.1,3.1,8.4,2.74,1097
Washington Nationals,24,30.1,4.15,97,65,0.599,3.88,162,162,159,3,5,1,46,1446.2,1300,672,623,189,495,39,1457,60,5,44,6068,116,3.99,1.241,8.1,1.2,3.1,9.1,2.94,1056
League Average,25,28.4,4.63,80,82,0.496,4.34,162,162,160,2,9,1,40,1442.0,1408,750,695,197,541,39,1344,61,6,58,6190,101,4.32,1.351,8.8,1.2,3.4,8.4,2.49,1115
,381,28.4,4.63,1205,1225,0.496,4.34,2430,2430,2403,27,135,13,605,21626.1,21116,11245,10418,2960,8108,588,20158,908,83,864,92854,101,4.32,1.351,8.8,1.2,3.4,8.4,2.49,16730
