"player_name","minor_playerid","Date","Team","Level","Opp","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wBsR","gamedate","dh","UPId","PlayerId","MLBAMId","MinorMasterId","RRId","FirstName","LastName","firstLastName","Height","Weight","BirthDate","Bats","Throws","Position","BirthCity","College","Debut","LastGame","RookieSeason","Age","minSeason","maxSeason","servicetime"
"Davis Schneider","sa3004518","2023-08-02","TOR","(AAA)","@PHI",1,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,-0.887479766894909,-1.59293113618049,0,-100,0,"2023-08-02",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-08-01","TOR","(AAA)","@PHI",1,5,5,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.2,0,0.4,0,0.2,0.2,0.4,0,2.64285714285714,0.33333333,-0.0627764955414276,-0.768227864827011,0.184075057506561,-8.89877010303373,-0.00551033765077591,"2023-08-01",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-30","TOR","(AAA)","NYY",1,3,5,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.33333333,0.4,0,2,0.6,0.33333333,0.93333333,0,1.60119045535714,0.33333333,1.27663005998365,0.571178690698066,0.483032691478729,180.966416051684,-0.0165310129523277,"2023-07-30",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-29","TOR","(AAA)","NYY",1,4,5,2,0,0,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5,0.2,0.2,1,0.6,1.75,2.35,1.25,5.14285714285714,0.5,2.89551309597948,2.19006172669389,0.844369912147522,410.448291979614,-0.00551033765077591,"2023-07-29",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-28","TOR","(AAA)","NYY",1,3,5,3,1,2,0,0,2,2,1,0,0,1,0,0,0,0,0,1,0.2,0,1,1,1.66666667,2.66666667,0.66666667,2.64285714285714,1,3.55103660269061,2.84558523340503,0.990683782100678,503.370856914882,-0.0165310129523277,"2023-07-28",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-27","TOR","(AAA)","NYY",1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.142857142857143,0,-0.709983813515927,-1.27434490894439,0,-100,0,"2023-07-27",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-26","TOR","(AAA)","NYY",1,4,6,3,1,1,0,1,3,2,1,0,0,1,0,0,0,0,0,0.75,0.16666667,0,1,0.83333333,1.75,2.58333333,1,2.64285714285714,0.66666667,3.96742371735274,3.12088207421004,0.936032841602961,468.662557771415,-0.0165310129523277,"2023-07-26",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-25","TOR","(AAA)","NYY",1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,1,0.25,0,0.25,0,0.142857142857143,0,-0.0402805357533889,-0.604641631181856,0.186848521232605,-7.13736933315852,-0.00551033765077591,"2023-07-25",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-23","TOR","(AAA)","@NYM",1,3,5,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0.33333333,0.4,0,2,0.6,1.33333333,1.93333333,1,0.142857142857143,0,2.170513117343,1.46506174805741,0.682548785209656,307.677213744882,-0.0110206753015518,"2023-07-23",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
"Davis Schneider","sa3004518","2023-07-22","TOR","(AAA)","@NYM",1,4,5,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0.142857142857143,0,-0.887479766894909,-1.59293113618049,0,-100,0,"2023-07-22",1,"23565","23565","676914","sa3004518","davis schneider","Davis","Schneider","Davis Schneider","70","190","1999-01-26T00:00:00","R","R","2B","","","2023-08-04T00:00:00","2023-10-01T00:00:00","2023","25","2023","2023",NA
