Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.33,104,0.296,0.166,3.4%,21.0%,6.5%,22.6%,43.6%,24.0%,0.79,31.0%,52.8%,16.2%,2.5,1.3%,28.0,29%,69%,34%
Boston Red Sox,0.313,90,0.297,0.124,2.0%,21.5%,8.6%,23.5%,44.3%,24.9%,0.81,28.3%,56.2%,15.5%,-8.7,-3.5%,-56.3,28%,72%,42%
Chicago White Sox,0.321,103,0.306,0.146,2.6%,22.4%,6.9%,24.0%,46.5%,21.0%,0.89,29.0%,52.4%,18.6%,3.4,2.5%,-3.7,29%,70%,39%
Cleveland Indians,0.322,96,0.296,0.136,2.3%,19.1%,8.1%,24.9%,43.1%,23.0%,0.79,29.5%,53.3%,17.3%,-1.1,-2.0%,-18.3,29%,79%,42%
Detroit Tigers,0.341,113,0.319,0.15,2.5%,18.5%,7.1%,24.0%,43.0%,25.8%,0.77,28.5%,53.8%,17.7%,6.6,8.1%,86.8,31%,72%,40%
Houston Astros,0.315,94,0.298,0.141,2.7%,23.8%,8.2%,23.6%,43.5%,24.3%,0.79,28.4%,53.8%,17.8%,-5.3,-2.0%,-35.8,27%,77%,36%
Kansas City Royals,0.316,90,0.302,0.113,1.6%,16.3%,6.3%,23.7%,46.9%,20.4%,0.91,27.0%,56.9%,16.1%,-2.5,-3.3%,-29.7,30%,81%,41%
Los Angeles Angels of Anaheim,0.331,113,0.305,0.147,2.5%,20.1%,7.8%,25.0%,45.7%,20.6%,0.86,29.2%,53.9%,16.9%,9.6,6.4%,113.4,32%,68%,46%
Minnesota Twins,0.325,100,0.309,0.135,2.1%,21.3%,8.7%,23.9%,44.1%,23.2%,0.81,28.5%,53.2%,18.3%,0.6,-0.3%,38.9,31%,73%,44%
New York Yankees,0.314,93,0.282,0.135,2.4%,18.6%,7.4%,23.0%,43.9%,24.5%,0.8,28.7%,55.9%,15.5%,-3.1,-2.8%,-37.9,28%,81%,33%
Oakland Athletics,0.322,101,0.278,0.137,2.3%,17.7%,9.4%,25.6%,38.8%,25.3%,0.65,30.1%,53.0%,16.9%,1.4,1.5%,65.5,31%,81%,42%
Seattle Mariners,0.307,94,0.29,0.132,2.3%,20.6%,6.6%,25.0%,44.8%,21.4%,0.84,28.3%,52.8%,18.9%,-5.7,-4.9%,-17.5,29%,70%,44%
Tampa Bay Rays,0.312,96,0.287,0.12,1.9%,18.1%,8.5%,21.7%,45.2%,24.1%,0.86,28.8%,54.1%,17.1%,-8.6,-2.2%,-56.0,27%,70%,43%
Texas Rangers,0.313,91,0.305,0.119,1.8%,19.3%,6.9%,23.8%,47.6%,19.7%,0.95,26.3%,57.6%,16.2%,-7.4,0.4%,-37.8,29%,64%,44%
Toronto Blue Jays,0.335,109,0.295,0.155,2.9%,18.7%,8.1%,22.7%,44.5%,22.6%,0.83,28.3%,55.1%,16.7%,2.0,0.1%,58.5,30%,79%,38%
League Average,0.321,99,0.298,0.137,2.3%,19.8%,7.7%,23.8%,44.4%,23.0%,0.82,28.6%,54.3%,17.0%,-1.0,-0%,7.0,29%,74%,41%
,0.321,99,0.298,0.137,2.3%,19.8%,7.7%,23.8%,44.4%,23.0%,0.82,28.6%,54.3%,17.0%,-16.1,-0.9%,97.9,29%,74%,41%
