Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.322,96,0.291,0.171,3.6%,22.2%,7.0%,89.3,40.6%,26.5%,43.5%,21.2%,0.79,30.1%,52.1%,17.8%,-3.7,-3.9%,10.6,30%,64%,37%
Boston Red Sox,0.33,98,0.305,0.149,2.6%,18.4%,7.7%,89.0,38.2%,23.8%,47.2%,20.9%,0.91,26.4%,54.8%,18.8%,-3.4,-3.2%,23.7,31%,72%,37%
Chicago White Sox,0.307,92,0.296,0.13,2.2%,20.3%,6.7%,88.1,37.1%,25.8%,48.9%,17.2%,0.99,27.3%,52.3%,20.3%,-8.4,-2.9%,-69.5,28%,62%,37%
Cleveland Indians,0.322,91,0.299,0.144,2.3%,18.9%,8.7%,88.6,39.6%,26.4%,44.6%,20.1%,0.84,31.1%,51.5%,17.5%,-6.6,-3.1%,-46.4,29%,75%,38%
Detroit Tigers,0.328,105,0.322,0.15,2.5%,20.4%,7.4%,88.7,39.4%,26.6%,42.8%,23.0%,0.77,24.6%,54.0%,21.4%,-1.2,-1.3%,-13.3,28%,62%,34%
Houston Astros,0.332,108,0.292,0.187,3.8%,22.9%,8.0%,89.2,40.3%,25.6%,41.5%,23.6%,0.73,30.7%,50.9%,18.4%,1.2,1.4%,43.4,29%,72%,43%
Kansas City Royals,0.326,97,0.301,0.144,2.3%,15.9%,6.3%,88.4,38.0%,25.5%,44.7%,21.3%,0.83,27.3%,53.6%,19.2%,4.5,1.8%,13.6,32%,75%,44%
Los Angeles Angels of Anaheim,0.311,97,0.28,0.15,2.9%,19.2%,7.3%,88.2,35.1%,27.1%,45.1%,19.3%,0.85,27.6%,52.4%,20.1%,-0.6,-0.3%,-13.1,28%,60%,44%
Minnesota Twins,0.313,92,0.292,0.152,2.6%,21.0%,7.3%,88.5,37.2%,24.2%,44.4%,22.4%,0.83,27.7%,54.0%,18.3%,-1.6,-2.8%,-7.0,32%,65%,37%
New York Yankees,0.329,103,0.283,0.17,3.4%,19.6%,8.8%,88.6,38.6%,25.0%,42.0%,23.4%,0.74,34.4%,50.4%,15.1%,-1.7,-1.0%,58.1,30%,72%,34%
Oakland Athletics,0.316,96,0.288,0.144,2.4%,18.1%,7.7%,87.7,34.1%,26.7%,45.6%,19.1%,0.85,29.1%,51.2%,19.7%,-5.2,-1.4%,1.7,31%,73%,36%
Seattle Mariners,0.32,103,0.292,0.162,3.2%,21.8%,7.8%,90.2,43.9%,26.9%,44.3%,20.9%,0.82,29.5%,50.5%,19.9%,-4.4,-2.7%,-34.1,26%,61%,34%
Tampa Bay Rays,0.317,99,0.3,0.154,2.8%,21.6%,7.2%,88.4,36.4%,25.2%,43.2%,22.4%,0.78,29.8%,51.4%,18.8%,-6.3,-6.6%,-47.0,27%,66%,36%
Texas Rangers,0.33,98,0.3,0.156,2.8%,19.9%,8.1%,89.0,40.5%,26.4%,45.4%,18.4%,0.87,30.1%,52.9%,17.1%,3.7,4.4%,45.5,31%,72%,47%
Toronto Blue Jays,0.351,115,0.298,0.188,3.7%,18.5%,9.2%,89.3,42.0%,24.9%,44.7%,20.5%,0.84,28.8%,53.1%,18.1%,12.1,8.2%,187.5,34%,79%,38%
League Average,0.324,99,0.296,0.157,2.9%,19.9%,7.7%,88.7,38.7%,25.8%,44.6%,20.9%,0.83,28.9%,52.4%,18.7%,-1.0,-1%,10.0,30%,69%,38%
,0.324,99,0.296,0.157,2.9%,19.9%,7.7%,88.7,38.7%,25.8%,44.6%,20.9%,0.83,28.9%,52.4%,18.7%,-21.6,-13.3%,153.7,30%,69%,38%
