Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.316,90,0.293,0.168,3.4%,23.2%,7.5%,88.0,36.7%,24.4%,43.6%,22.7%,0.8,29.9%,53.1%,17.1%,-11.5,-2.3%,-80.7,30%,74%,40%
Boston Red Sox,0.347,107,0.313,0.197,3.8%,21.3%,9.1%,90.3,44.7%,24.7%,43.0%,24.9%,0.76,28.5%,52.8%,18.7%,1.3,1.1%,77.7,33%,69%,44%
Chicago White Sox,0.318,94,0.329,0.153,3.0%,25.6%,6.3%,89.3,40.8%,25.9%,45.6%,20.8%,0.86,27.2%,52.9%,20.0%,-4.6,-0.3%,-70.2,30%,69%,40%
Cleveland Indians,0.326,93,0.289,0.183,3.6%,21.8%,9.2%,89.6,41.0%,23.7%,42.3%,24.6%,0.76,31.5%,51.6%,17.0%,-2.5,-2.8%,-30.8,31%,75%,42%
Detroit Tigers,0.297,76,0.308,0.148,2.5%,26.4%,6.5%,88.4,39.4%,26.4%,41.7%,23.7%,0.73,27.4%,53.5%,19.1%,-21.5,-3.1%,-228.9,26%,74%,42%
Houston Astros,0.36,119,0.296,0.221,4.5%,18.2%,10.1%,88.7,39.5%,25.6%,41.0%,24.2%,0.71,30.5%,53.1%,16.5%,6.6,3.1%,119.5,32%,71%,33%
Kansas City Royals,0.31,84,0.301,0.154,2.7%,23.1%,7.5%,88.1,36.3%,25.0%,43.8%,22.7%,0.8,28.6%,52.7%,18.7%,-12.4,-1.4%,-113.1,31%,75%,40%
Los Angeles Angels,0.324,96,0.281,0.175,3.5%,20.4%,9.4%,88.4,37.4%,25.1%,43.1%,23.4%,0.76,31.8%,51.1%,17.2%,-5.7,-0.8%,-32.3,30%,76%,37%
Minnesota Twins,0.353,118,0.3,0.224,4.8%,20.9%,8.2%,90.2,43.3%,26.7%,38.4%,26.0%,0.63,31.6%,51.9%,16.5%,10.0,7.1%,147.8,34%,57%,40%
New York Yankees,0.352,118,0.306,0.222,4.9%,23.0%,9.1%,90.5,44.2%,25.4%,41.7%,24.9%,0.72,27.5%,54.1%,18.4%,13.6,8.4%,171.7,35%,71%,40%
Oakland Athletics,0.335,110,0.282,0.199,4.1%,21.3%,9.2%,89.8,42.2%,24.9%,41.2%,25.4%,0.71,30.1%,52.1%,17.8%,7.0,5.9%,71.6,33%,70%,42%
Seattle Mariners,0.321,100,0.287,0.187,3.9%,25.5%,9.5%,87.6,35.5%,24.9%,40.5%,25.5%,0.69,29.5%,51.5%,19.0%,-3.2,0.2%,-18.8,30%,71%,40%
Tampa Bay Rays,0.327,102,0.306,0.178,3.5%,23.8%,8.6%,89.8,42.1%,25.6%,44.5%,22.6%,0.81,28.3%,52.5%,19.3%,-2.1,-1.1%,-15.6,30%,72%,41%
Texas Rangers,0.328,88,0.304,0.183,3.6%,25.4%,8.6%,89.7,42.3%,25.6%,42.9%,23.1%,0.77,28.7%,52.7%,18.7%,-3.8,-1.1%,-21.4,33%,78%,41%
Toronto Blue Jays,0.316,93,0.28,0.192,4.1%,24.9%,8.4%,89.1,40.5%,24.4%,39.9%,25.9%,0.67,30.9%,52.8%,16.3%,-10.1,-3.3%,-65.6,29%,72%,38%
League Average,0.329,99,0.298,0.186,3.7%,23.0%,8.5%,89.2,40.4%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,18.0%,-3.0,1%,-6.0,31%,73%,40%
,0.329,99,0.298,0.186,3.7%,23.0%,8.5%,89.2,40.4%,25.2%,42.2%,24.0%,0.74,29.5%,52.5%,18.0%,-38.8,9.6%,-89.2,31%,73%,40%
