Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Arizona Diamondbacks,0.309,86,0.293,0.127,1.9%,19.1%,6.5%,26.5%,47.0%,18.8%,0.92,24.1%,58.0%,18.0%,-7.1,-0.6%,-37.3,29%,72%,42%
Atlanta Braves,0.305,86,0.298,0.119,2.0%,22.6%,7.8%,24.1%,45.3%,22.0%,0.87,26.5%,55.5%,18.0%,-8.6,-5.2%,-65.2,26%,74%,40%
Chicago Cubs,0.309,87,0.296,0.146,2.6%,24.2%,7.2%,24.7%,41.9%,22.6%,0.76,30.1%,52.6%,17.3%,-7.4,-2.4%,-44.0,28%,62%,38%
Cincinnati Reds,0.305,84,0.284,0.127,2.2%,20.9%,6.9%,26.8%,43.3%,18.9%,0.82,27.0%,56.4%,16.5%,-9.1,-3.4%,-47.7,28%,70%,38%
Colorado Rockies,0.343,101,0.326,0.169,3.0%,20.8%,6.4%,26.8%,45.3%,19.1%,0.86,24.8%,58.0%,17.2%,2.3,2.9%,70.2,31%,64%,38%
Los Angeles Dodgers,0.336,112,0.318,0.14,2.2%,20.0%,8.3%,25.2%,47.4%,19.6%,0.95,22.9%,58.1%,19.0%,6.8,4.9%,86.0,30%,73%,41%
Miami Marlins,0.315,92,0.316,0.125,2.0%,22.9%,8.1%,25.0%,48.5%,18.4%,1.0,24.1%,56.8%,19.1%,-1.8,-1.2%,0.8,29%,73%,40%
Milwaukee Brewers,0.322,94,0.293,0.147,2.5%,19.7%,7.0%,24.8%,44.0%,21.0%,0.83,25.8%,53.6%,20.6%,-1.3,-1.2%,-2.1,29%,70%,44%
New York Mets,0.309,93,0.286,0.126,2.0%,20.6%,8.4%,25.0%,41.6%,24.4%,0.74,27.1%,56.1%,16.8%,-2.3,-2.3%,-0.7,29%,75%,40%
Philadelphia Phillies,0.307,84,0.292,0.121,2.0%,21.1%,7.2%,25.1%,45.4%,20.8%,0.87,30.3%,53.1%,16.6%,-7.2,-2.3%,-35.6,28%,81%,36%
Pittsburgh Pirates,0.333,107,0.307,0.145,2.5%,20.0%,8.4%,25.4%,43.9%,21.7%,0.82,26.9%,57.1%,16.0%,4.8,2.3%,44.1,28%,69%,40%
San Diego Padres,0.292,84,0.277,0.115,1.9%,21.9%,7.9%,23.3%,47.6%,20.6%,0.96,28.7%,54.1%,17.2%,-9.4,-3.6%,-80.5,26%,73%,40%
San Francisco Giants,0.316,99,0.304,0.133,2.2%,20.5%,7.0%,25.0%,44.0%,22.2%,0.81,26.7%,56.1%,17.2%,5.5,4.1%,39.2,30%,67%,41%
St. Louis Cardinals,0.315,93,0.3,0.116,1.7%,18.6%,7.7%,26.7%,46.0%,19.7%,0.89,24.0%,57.8%,18.2%,-0.8,1.4%,-15.1,28%,64%,39%
Washington Nationals,0.326,95,0.303,0.14,2.5%,21.0%,8.3%,26.5%,44.5%,19.7%,0.85,27.1%,55.5%,17.3%,3.6,0.7%,32.6,29%,81%,43%
League Average,0.316,93,0.3,0.133,2.2%,20.9%,7.6%,25.4%,45.1%,20.6%,0.86,26.4%,55.9%,17.7%,-2.0,-0%,-4.0,29%,72%,40%
,0.316,93,0.3,0.133,2.2%,20.9%,7.6%,25.4%,45.1%,20.6%,0.86,26.4%,55.9%,17.7%,-31.9,-5.9%,-55.1,29%,72%,40%
