Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.305,88,0.286,0.152,3.1%,23.4%,7.0%,88.7,38.9%,24.0%,44.2%,22.9%,0.81,27.4%,53.0%,19.7%,-19.2,-1.8%,-115.5,27%,79%,41%
Boston Red Sox,0.35,113,0.309,0.185,3.3%,19.9%,9.0%,90.3,43.2%,25.2%,43.7%,23.5%,0.78,29.5%,51.9%,18.6%,15.0,6.8%,136.0,34%,80%,37%
Chicago White Sox,0.311,92,0.304,0.16,3.0%,26.3%,7.0%,88.6,39.4%,25.3%,44.8%,21.6%,0.83,28.1%,52.7%,19.3%,-9.2,-2.1%,-80.4,28%,71%,41%
Cleveland Indians,0.339,106,0.291,0.176,3.4%,18.9%,8.8%,89.1,40.2%,26.3%,40.5%,24.3%,0.7,30.6%,52.8%,16.6%,-0.9,0.7%,73.3,31%,79%,41%
Detroit Tigers,0.304,83,0.293,0.138,2.2%,22.2%,7.1%,87.8,36.5%,26.2%,42.5%,21.8%,0.76,28.5%,51.8%,19.7%,-10.8,-3.5%,-113.6,29%,70%,39%
Houston Astros,0.333,107,0.289,0.17,3.3%,19.5%,9.2%,88.3,37.8%,24.2%,42.0%,24.4%,0.74,29.8%,54.0%,16.1%,3.2,3.1%,74.5,32%,73%,39%
Kansas City Royals,0.311,89,0.293,0.146,2.6%,21.6%,7.0%,88.4,37.9%,25.8%,41.2%,24.3%,0.72,28.8%,52.8%,18.5%,-14.3,-2.3%,-103.5,29%,75%,41%
Los Angeles Angels,0.32,98,0.277,0.171,3.5%,21.3%,8.4%,88.6,39.7%,25.3%,41.6%,24.2%,0.72,31.0%,52.8%,16.2%,-0.4,-0.3%,-4.6,29%,80%,42%
Minnesota Twins,0.317,94,0.298,0.155,2.7%,21.6%,8.7%,88.2,37.2%,25.2%,40.2%,25.2%,0.68,30.2%,52.1%,17.7%,-0.7,-2.4%,-0.2,32%,64%,46%
New York Yankees,0.341,112,0.285,0.202,4.3%,22.7%,10.0%,89.8,41.4%,23.3%,41.8%,26.1%,0.73,29.2%,53.2%,17.6%,10.3,5.6%,120.1,32%,75%,41%
Oakland Athletics,0.334,111,0.294,0.187,3.6%,22.1%,8.8%,89.9,42.3%,25.6%,40.1%,25.8%,0.67,28.6%,52.7%,18.7%,3.8,0.3%,86.7,32%,63%,45%
Seattle Mariners,0.318,102,0.295,0.154,2.9%,20.1%,7.1%,89.1,39.1%,24.5%,45.1%,22.6%,0.85,29.0%,53.0%,18.0%,1.4,0.6%,-36.4,28%,68%,38%
Tampa Bay Rays,0.328,105,0.317,0.148,2.4%,22.4%,8.7%,87.8,36.1%,25.2%,45.5%,20.8%,0.86,26.8%,52.2%,21.0%,-3.3,-3.2%,-3.6,29%,72%,40%
Texas Rangers,0.321,88,0.292,0.164,3.2%,24.1%,9.0%,88.4,37.4%,24.2%,43.4%,23.3%,0.8,28.7%,53.0%,18.3%,-7.2,-1.7%,-27.4,30%,68%,42%
Toronto Blue Jays,0.324,102,0.286,0.183,3.6%,22.8%,8.2%,89.8,43.6%,25.0%,41.5%,24.9%,0.71,29.0%,52.3%,18.8%,-0.7,-0.4%,-15.8,29%,61%,35%
League Average,0.324,99,0.294,0.166,3.1%,21.9%,8.3%,88.9,39.4%,25.0%,42.5%,23.7%,0.75,29.0%,52.7%,18.3%,-2.0,-0%,-1.0,30%,73%,40%
,0.324,99,0.294,0.166,3.1%,21.9%,8.3%,88.9,39.4%,25.0%,42.5%,23.7%,0.75,29.0%,52.7%,18.3%,-33.0,-0.5%,-10.6,30%,73%,40%
