Unnamed: 0_level_0,Batting,Batting,Batting,Batting,Batting Ratios,Batting Ratios,Batting Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability,Baserunning,Baserunning,Baserunning
Tm,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
Baltimore Orioles,0.324,106,0.305,0.166,3.0%,22.4%,8.4%,89.0,40.9%,23.5%,42.1%,26.7%,0.74,30.6%,51.0%,18.4%,10.4,7.2%,72.6,35%,83%,49%
Boston Red Sox,0.329,100,0.31,0.166,3.0%,22.2%,7.9%,88.8,40.4%,24.1%,42.2%,26.0%,0.74,30.3%,51.9%,17.8%,-2.7,0.5%,8.4,32%,81%,39%
Chicago White Sox,0.298,81,0.289,0.146,2.9%,23.8%,6.3%,88.1,37.8%,24.2%,45.5%,22.9%,0.85,29.0%,52.1%,18.9%,-15.0,-2.5%,-131.3,29%,80%,42%
Cleveland Guardians,0.307,93,0.292,0.131,2.0%,18.7%,7.7%,87.0,33.1%,25.2%,44.1%,22.7%,0.8,29.2%,51.6%,19.1%,-5.7,-3.3%,-83.9,30%,81%,43%
Detroit Tigers,0.305,87,0.291,0.146,2.7%,24.2%,8.4%,88.8,40.7%,23.6%,42.1%,27.0%,0.73,28.8%,52.8%,18.4%,-10.5,-4.0%,-102.1,29%,79%,45%
Houston Astros,0.338,112,0.294,0.178,3.6%,19.9%,8.8%,88.2,38.9%,24.0%,41.6%,27.5%,0.72,29.5%,52.1%,18.5%,3.2,4.0%,80.9,33%,77%,37%
Kansas City Royals,0.31,91,0.296,0.153,2.7%,23.3%,6.9%,88.9,41.2%,25.4%,40.0%,26.9%,0.68,30.1%,51.6%,18.3%,-10.6,-2.0%,-66.7,30%,78%,44%
Los Angeles Angels,0.323,99,0.295,0.181,3.8%,24.8%,8.4%,88.9,40.4%,22.9%,41.4%,28.1%,0.71,30.3%,51.2%,18.5%,-3.3,-0.6%,-24.5,29%,70%,38%
Minnesota Twins,0.331,106,0.304,0.184,3.8%,26.6%,9.6%,88.9,41.5%,24.7%,39.5%,27.9%,0.66,31.1%,50.6%,18.2%,-4.4,-3.0%,15.0,30%,83%,43%
New York Yankees,0.307,89,0.266,0.171,3.7%,23.9%,9.3%,89.4,41.9%,23.2%,42.3%,27.1%,0.74,28.6%,53.7%,17.7%,-7.5,-3.3%,-83.3,28%,77%,39%
Oakland Athletics,0.297,90,0.276,0.147,2.9%,25.1%,8.4%,87.1,35.3%,21.8%,42.6%,26.4%,0.77,30.8%,51.2%,18.0%,-14.5,-0.3%,-140.9,26%,83%,40%
Seattle Mariners,0.324,108,0.301,0.17,3.4%,25.9%,8.8%,89.1,41.4%,24.3%,39.7%,28.0%,0.66,34.5%,49.4%,16.0%,-2.1,-2.9%,19.3,30%,80%,40%
Tampa Bay Rays,0.342,116,0.308,0.185,3.7%,23.0%,8.3%,89.1,40.9%,22.6%,43.8%,25.4%,0.79,31.5%,50.6%,17.9%,11.1,6.2%,128.2,34%,80%,46%
Texas Rangers,0.345,114,0.31,0.19,3.7%,22.5%,9.5%,89.5,41.6%,25.3%,39.7%,28.4%,0.66,29.0%,53.0%,18.0%,5.8,5.3%,129.1,34%,81%,39%
Toronto Blue Jays,0.329,107,0.301,0.161,3.0%,21.0%,8.8%,88.2,39.0%,24.5%,41.6%,26.0%,0.72,28.8%,51.1%,20.1%,-4.6,-3.5%,-7.6,29%,74%,41%
League Average,0.321,100,0.296,0.165,3.2%,23.1%,8.4%,88.6,39.6%,24.0%,41.9%,26.4%,0.73,30.1%,51.6%,18.3%,-3.0,-0%,-12.0,31%,79%,42%
,0.321,100,0.296,0.165,3.2%,23.1%,8.4%,88.6,39.6%,24.0%,41.9%,26.4%,0.73,30.1%,51.6%,18.3%,-50.4,-2.3%,-186.9,31%,79%,42%
