Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,41,28.5,5.51,52,110,0.321,5.11,162,162,159,3,4,3,22,1417.1,1480,893,804,232,555,45,1238,75,7,43,6270,83,4.88,1.436,9.4,1.5,3.5,7.9,2.23,1146
Atlanta Braves,30,29.5,4.07,88,73,0.547,3.88,161,161,159,2,18,2,40,1410.2,1237,656,608,183,516,34,1417,66,8,73,5944,112,4.09,1.243,7.9,1.2,3.3,9.0,2.75,1074
Chicago Cubs,40,29.4,5.18,71,91,0.438,4.87,162,162,161,1,8,0,40,1412.2,1386,839,765,235,596,25,1358,98,4,60,6202,87,4.88,1.403,8.8,1.5,3.8,8.7,2.28,1143
Cincinnati Reds,36,28.9,4.69,83,79,0.512,4.4,162,162,161,1,8,1,41,1434.1,1330,760,702,206,617,30,1524,64,8,62,6199,107,4.34,1.357,8.3,1.3,3.9,9.6,2.47,1161
Colorado Rockies,26,28.3,4.94,74,87,0.46,4.82,161,161,158,3,6,1,33,1397.0,1397,796,748,196,539,19,1269,63,3,67,6044,100,4.47,1.386,9.0,1.3,3.5,8.2,2.35,1081
Los Angeles Dodgers,39,28.8,3.46,106,56,0.654,3.01,162,162,161,1,17,0,56,1452.0,1107,561,486,161,486,43,1599,63,9,52,5948,140,3.54,1.097,6.9,1.0,3.0,9.9,3.29,1063
Miami Marlins,34,27.3,4.33,67,95,0.414,3.96,162,162,161,1,8,0,33,1415.0,1282,701,622,162,529,43,1381,88,2,58,6027,107,4.01,1.28,8.2,1.0,3.4,8.8,2.61,1103
Milwaukee Brewers,38,28.1,3.85,95,67,0.586,3.5,162,162,160,2,19,1,44,1436.0,1156,623,558,168,537,19,1618,77,9,60,5990,119,3.72,1.179,7.2,1.1,3.4,10.1,3.01,1084
New York Mets,42,29.5,4.12,77,85,0.475,3.9,162,162,160,2,8,1,41,1379.1,1221,668,597,190,475,21,1453,70,1,53,5785,104,4.03,1.23,8.0,1.2,3.1,9.5,3.06,1005
Philadelphia Phillies,35,28.8,4.6,82,80,0.506,4.39,162,162,157,5,12,4,36,1418.2,1321,745,692,200,509,37,1480,75,5,49,6055,96,4.15,1.29,8.4,1.3,3.2,9.4,2.91,1074
Pittsburgh Pirates,38,27.4,5.14,61,101,0.377,5.08,162,162,162,0,6,0,25,1396.1,1400,833,788,213,606,26,1312,78,5,55,6140,84,4.74,1.437,9.0,1.4,3.9,8.5,2.17,1128
San Diego Padres,34,29.6,4.37,79,83,0.488,4.1,162,162,160,2,11,2,43,1430.0,1277,708,651,205,516,33,1517,87,2,57,6056,95,4.18,1.254,8.0,1.3,3.2,9.5,2.94,1086
San Francisco Giants,34,29.7,3.67,107,55,0.66,3.24,162,162,160,2,18,2,56,1455.0,1254,594,524,151,416,20,1425,63,7,44,6002,128,3.55,1.148,7.8,0.9,2.6,8.8,3.43,1072
St. Louis Cardinals,33,30.1,4.15,90,72,0.556,3.98,162,162,159,3,15,1,50,1417.0,1234,672,626,152,608,30,1225,85,4,66,6046,99,4.3,1.3,7.8,1.0,3.9,7.8,2.01,1134
Washington Nationals,33,30.1,5.06,65,97,0.401,4.8,162,162,161,1,8,0,36,1394.1,1364,820,743,247,548,46,1346,71,1,43,6073,84,4.87,1.371,8.8,1.6,3.5,8.7,2.46,1087
League Average,33,28.9,4.48,80,82,0.493,4.2,162,162,160,2,11,1,40,1418.0,1296,725,661,193,537,31,1411,75,5,56,6052,101,4.25,1.293,8.2,1.2,3.4,9.0,2.63,1096
,497,28.9,4.48,1197,1231,0.493,4.2,2428,2428,2399,29,166,18,596,21265.2,19446,10869,9914,2901,8053,471,21162,1123,75,842,90781,101,4.25,1.293,8.2,1.2,3.4,9.0,2.63,16441
