Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 4",boxscore,BOS,@,SEA,W,2,0,,1-0,3,0.5,Martinez,Moyer,Lowe,2:40,N,45552,1.00,+,
2,"Wednesday, Apr 5",boxscore,BOS,@,SEA,L,3,9,,1-1,3,0.5,García,Martinez,,3:11,N,29242,1.02,-,
3,"Thursday, Apr 6",boxscore,BOS,@,SEA,L,2,5,,1-2,5,1.0,Mesa,Florie,Sasaki,3:06,N,25121,.98,--,
4,"Friday, Apr 7",boxscore,BOS,@,ANA,L,3,7,,1-3,5,2.0,Dickson,Schourek,,2:28,N,30412,.94,---,
5,"Saturday, Apr 8",boxscore,BOS,@,ANA,L,5,7,,1-4,5,3.0,Hill,Rose,Percival,3:11,N,27369,.93,----,
6,"Sunday, Apr 9",boxscore,BOS,@,ANA,W,5,2,,2-4,4,3.0,Martinez,Bottenfield,,2:44,D,35847,.86,+,
7,"Tuesday, Apr 11",boxscore,BOS,,MIN,W,13,4,,3-4,3,2.0,Martinez,Mays,,3:00,D,33114,.90,++,
8,"Wednesday, Apr 12",boxscore,BOS,,MIN,W,7,3,,4-4,3,1.0,Fassero,Santana,,2:48,N,20313,.98,+++,
9,"Thursday, Apr 13",boxscore,BOS,,MIN,W,4,3,,5-4,2,0.5,Wakefield,Wells,Lowe,2:54,N,22194,1.02,++++,
10,"Friday, Apr 14",boxscore,BOS,,OAK,L,6,13,,5-5,2,1.5,Appier,Rose,,3:25,N,29472,1.05,-,
11,"Saturday, Apr 15",boxscore,BOS,,OAK,W,14,2,,6-5,2,1.5,Martinez,Hudson,,3:06,D,33122,1.02,+,
12,"Sunday, Apr 16",boxscore,BOS,,OAK,W-wo,5,4,,7-5,2,1.5,Lowe,Mathews,,2:54,D,32385,1.06,++,
13,"Monday, Apr 17",boxscore,BOS,,OAK,L,0,1,,7-6,3,2.5,Heredia,Fassero,Isringhausen,2:58,D,33240,1.08,-,
14,"Tuesday, Apr 18",boxscore,BOS,@,DET,W,7,0,,8-6,2,2.5,Schourek,Mlicki,Lowe,2:34,N,21632,1.06,+,
15,"Wednesday, Apr 19",boxscore,BOS,@,DET,W,10,0,,9-6,2,2.5,Rose,Nomo,,3:00,N,20526,1.09,++,
16,"Monday, Apr 24",boxscore,BOS,@,TEX,L,4,5,,9-7,3,2.0,Rogers,Wakefield,Wetteland,2:56,N,26940,1.11,-,
17,"Tuesday, Apr 25",boxscore,BOS,@,TEX,W,6,3,,10-7,3,1.0,Martinez,Helling,Lowe,2:49,N,31692,1.11,+,
18,"Wednesday, Apr 26",boxscore,BOS,@,TEX,W,14,4,,11-7,2,1.0,Fassero,Clark,,3:17,D,28698,1.14,++,
19,"Friday, Apr 28",boxscore,BOS,@,CLE,L,3,4,,11-8,3,2.0,Burba,Schourek,Karsay,2:54,N,42885,1.21,-,
20,"Saturday, Apr 29",boxscore,BOS,@,CLE,L,2,3,,11-9,3,2.0,Finley,Martinez,Karsay,2:39,D,42453,1.16,--,
21,"Sunday, Apr 30",boxscore,BOS,@,CLE,W,2,1,,12-9,3,2.0,Martinez,Nagy,Lowe,2:50,D,42065,1.14,+,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
22,"Monday, May 1",boxscore,BOS,,DET,W,10,6,,13-9,2,2.0,Fassero,Nitkowski,,2:46,N,24087,1.14,++,
23,"Tuesday, May 2",boxscore,BOS,,DET,L,6,7,12,13-10,3,3.0,Blair,Wakefield,Jones,3:56,N,22897,1.19,-,
24,"Wednesday, May 3",boxscore,BOS,,DET,W,4,2,,14-10,2,3.0,Lowe,Weaver,,2:27,N,27397,1.11,+,
25,"Friday, May 5",boxscore,BOS,,TBD,W,5,3,,15-10,2,3.0,Martinez,Eiland,Lowe,2:54,N,32479,1.22,++,
