Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Mar 31",boxscore,NYY,@,TOR,W,8,4,,1-0,1,Tied,Clemens,Halladay,,2:50,N,50119,1.10,+,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
2,"Tuesday, Apr 1",boxscore,NYY,@,TOR,W,10,1,,2-0,1,up 0.5,Pettitte,Lidle,,2:41,D,15176,1.14,++,
3,"Wednesday, Apr 2",boxscore,NYY,@,TOR,W,9,7,,3-0,1,up 1.0,Mussina,Hendrickson,Acevedo,3:14,N,16222,1.19,+++,
4,"Friday, Apr 4",boxscore,NYY,@,TBD,W,12,2,,4-0,1,up 0.5,Wells,Parris,,3:03,N,15169,1.24,++++,
5,"Saturday, Apr 5",boxscore,NYY,@,TBD,L-wo,5,6,,4-1,1,up 0.5,Carter,Osuna,,3:03,N,20096,1.28,-,
6,"Sunday, Apr 6",boxscore,NYY,@,TBD,W,10,5,,5-1,1,up 0.5,Clemens,Zambrano,,3:08,D,18363,1.19,+,
7,"Tuesday, Apr 8",boxscore,NYY,,MIN,W,7,3,,6-1,1,up 1.5,Pettitte,Mays,,2:36,D,33109,1.16,++,2003-04-07 (Snow)
8,"Wednesday, Apr 9",boxscore,NYY,,MIN,W,2,1,,7-1,1,up 2.0,Mussina,Lohse,Acevedo,2:25,N,31898,1.18,+++,
9,"Thursday, Apr 10",boxscore,NYY,,MIN,W,2,0,,8-1,1,up 2.5,Wells,Reed,,2:22,D,29255,1.18,++++,
10,"Saturday, Apr 12",boxscore,NYY,,TBD,W-wo,5,4,,9-1,1,up 3.5,Osuna,Harper,,2:47,D,35326,1.32,+++++,
11,"Sunday, Apr 13",boxscore,NYY,,TBD,L,1,2,,9-2,1,up 2.5,Carter,Acevedo,,2:49,D,39725,1.28,-,
12,"Monday, Apr 14",boxscore,NYY,,TOR,W,10,9,,10-2,1,up 3.0,Contreras,Lopez,Hammond,4:08,N,30761,1.36,+,
13,"Tuesday, Apr 15",boxscore,NYY,,TOR,W,5,0,,11-2,1,up 3.0,Mussina,Halladay,,2:31,N,33833,1.34,++,
14,"Wednesday, Apr 16",boxscore,NYY,,TOR,L,6,7,,11-3,1,up 2.0,Lidle,Hitchcock,Escobar,3:41,N,25831,1.33,-,
15,"Thursday, Apr 17",boxscore,NYY,,TOR,W,4,0,,12-3,1,up 2.0,Weaver,Walker,,2:56,D,32057,1.33,+,
16,"Friday, Apr 18",boxscore,NYY,@,MIN,W,11,4,,13-3,1,up 2.0,Clemens,Radke,,3:09,N,37843,1.26,++,
17,"Saturday, Apr 19",boxscore,NYY,@,MIN,W,4,2,,14-3,1,up 2.0,Pettitte,Mays,Acevedo,2:49,N,36139,1.27,+++,
