Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 6",boxscore,BAL,,NYY,W,10,5,,1-0,1,Tied,Guthrie,Sabathia,,3:31,D,48607,1.14,+,
2,"Wednesday, Apr 8",boxscore,BAL,,NYY,W,7,5,,2-0,1,up 0.5,Uehara,Wang,Sherrill,2:57,N,22856,1.16,++,
3,"Thursday, Apr 9",boxscore,BAL,,NYY,L,2,11,,2-1,2,0.5,Burnett,Simon,,3:10,D,28534,1.22,-,
4,"Friday, Apr 10",boxscore,BAL,,TBR,W,5,4,,3-1,2,0.5,Hendrickson,Sonnanstine,Sherrill,2:49,N,22866,1.18,+,
5,"Saturday, Apr 11",boxscore,BAL,,TBR,W,6,0,,4-1,2,0.5,Guthrie,Niemann,,2:54,N,15108,1.21,++,
6,"Sunday, Apr 12",boxscore,BAL,,TBR,L,3,11,,4-2,2,0.5,Shields,Eaton,,3:00,D,15531,1.20,-,
7,"Monday, Apr 13",boxscore,BAL,@,TEX,W,10,9,,5-2,2,0.5,Uehara,Padilla,Sherrill,3:16,N,12184,1.05,+,
8,"Tuesday, Apr 14",boxscore,BAL,@,TEX,W,7,5,10,6-2,1,up 0.5,Johnson,Guardado,,3:18,N,14041,1.13,++,
9,"Wednesday, Apr 15",boxscore,BAL,@,TEX,L,6,19,,6-3,2,0.5,Benson,Hendrickson,,3:29,N,17539,1.12,-,
10,"Friday, Apr 17",boxscore,BAL,@,BOS,L,8,10,,6-4,2,1.0,Ramirez,Báez,Papelbon,3:34,N,38266,1.26,--,
11,"Saturday, Apr 18",boxscore,BAL,@,BOS,L,4,6,,6-5,2,2.0,Beckett,Eaton,Papelbon,3:13,N,37559,1.19,---,
12,"Sunday, Apr 19",boxscore,BAL,@,BOS,L,1,2,,6-6,3,3.0,Lester,Uehara,Saito,2:31,D,37869,1.18,----,
13,"Monday, Apr 20",boxscore,BAL,@,BOS,L,1,12,,6-7,4,3.5,Masterson,Hendrickson,,3:13,D,37865,1.13,-----,
14,"Tuesday, Apr 21",boxscore,BAL,,CHW,W,10,3,,7-7,4,2.5,Bergesen,Contreras,,2:41,N,14801,1.01,+,
15,"Wednesday, Apr 22",boxscore,BAL,,CHW,L,2,8,,7-8,4,3.5,Danks,Guthrie,,2:48,N,10868,.98,-,
16,"Thursday, Apr 23",boxscore,BAL,,CHW,W,6,2,,8-8,4,3.5,Eaton,Colón,,2:31,N,11723,.99,+,
17,"Friday, Apr 24",boxscore,BAL,,TEX,L,4,5,,8-9,4,4.5,Wilson,Sherrill,Francisco,2:58,N,24319,.97,-,
18,"Saturday, Apr 25",boxscore,BAL,,TEX,L,5,6,,8-10,4,4.5,Feldman,Hendrickson,Francisco,2:47,N,41160,.92,--,
19,"Sunday, Apr 26",boxscore,BAL,,TEX,W,8,5,,9-10,4,4.5,Báez,Jennings,Sherrill,2:42,D,22896,.85,+,
20,"Monday, Apr 27",boxscore,BAL,,TEX,L,4,6,,9-11,4,4.5,Harrison,Albers,Francisco,2:49,N,10621,.89,-,
21,"Tuesday, Apr 28",boxscore,BAL,,LAA,L,5,7,,9-12,4,5.5,Saunders,Eaton,Fuentes,2:57,N,11857,.84,--,
22,"Wednesday, Apr 29",boxscore,BAL,,LAA,L,2,3,,9-13,4,5.5,Loux,Uehara,Fuentes,2:56,D,14203,.79,---,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
23,"Friday, May 1",boxscore,BAL,@,TOR,L,4,8,,9-14,5,6.0,Halladay,Hendrickson,,2:59,N,20202,.86,----,
24,"Saturday, May 2",boxscore,BAL,@,TOR,L-wo,4,5,11,9-15,5,7.0,Frasor,Bass,,3:24,D,18331,.76,-----,
25,"Sunday, May 3",boxscore,BAL,@,TOR,L,3,4,,9-16,5,8.0,Richmond,Guthrie,Downs,2:15,D,20418,.67,------,
26,"Monday, May 4",boxscore,BAL,@,TBR,W,8,4,,10-16,5,7.0,Báez,Kazmir,,2:55,N,12658,.56,+,
27,"Tuesday, May 5",boxscore,BAL,@,TBR,L,3,6,,10-17,5,8.0,Garza,Uehara,Percival,2:28,D,13174,.62,-,
28,"Wednesday, May 6",boxscore,BAL,,MIN,W,4,1,6,11-17,5,8.0,Bass,Slowey,,1:27,N,10566,.52,+,
29,"Thursday, May 7",boxscore,BAL,,MIN,W,5,4,,12-17,5,7.0,Johnson,Mijares,Sherrill,2:47,N,11399,.60,++,
30,"Friday, May 8",boxscore,BAL,,NYY,L,0,4,,12-18,5,7.0,Sabathia,Guthrie,,2:32,N,36926,.66,-,
31,"Saturday, May 9",boxscore,BAL,,NYY,W,12,5,,13-18,5,7.0,Eaton,Hughes,,2:49,N,41825,.64,+,
32,"Sunday, May 10",boxscore,BAL,,NYY,L,3,5,,13-19,5,8.0,Chamberlain,Johnson,Rivera,3:06,D,33290,.68,-,
33,"Tuesday, May 12",boxscore,BAL,,TBR,W,7,5,,14-19,5,8.0,Bass,Sonnanstine,Sherrill,3:01,N,17122,.57,+,
34,"Wednesday, May 13",boxscore,BAL,,TBR,L,6,8,,14-20,5,8.0,Niemann,Bergesen,Howell,3:26,N,13237,.64,-,
35,"Thursday, May 14",boxscore,BAL,@,KCR,W,9,5,,15-20,5,7.0,Guthrie,Meche,,3:14,N,24431,.60,+,
36,"Friday, May 15",boxscore,BAL,@,KCR,L,1,8,,15-21,5,8.0,Greinke,Eaton,,2:46,N,38353,.66,-,
37,"Saturday, May 16",boxscore,BAL,@,KCR,W,3,2,,16-21,5,8.0,Hill,Davies,Sherrill,2:38,N,26720,.58,+,
38,"Sunday, May 17",boxscore,BAL,@,KCR,L,4,7,,16-22,5,9.0,Cruz,Johnson,,3:13,D,22791,.62,-,
39,"Tuesday, May 19",boxscore,BAL,@,NYY,L,1,9,,16-23,5,9.5,Sabathia,Bergesen,,2:49,N,42838,.61,--,
40,"Wednesday, May 20",boxscore,BAL,@,NYY,L,4,11,,16-24,5,9.5,Hughes,Guthrie,Rivera,2:38,N,43903,.51,---,
41,"Thursday, May 21",boxscore,BAL,@,NYY,L,4,7,,16-25,5,9.5,Aceves,Eaton,Rivera,2:45,N,43342,.43,----,
42,"Friday, May 22",boxscore,BAL,@,WSN,W,4,2,12,17-25,5,8.5,Báez,Wells,Sherrill,3:06,N,22556,.32,+,
43,"Saturday, May 23",boxscore,BAL,@,WSN,W,2,1,,18-25,5,7.5,Bass,Tavarez,Sherrill,2:31,N,31833,.41,++,
44,"Sunday, May 24",boxscore,BAL,@,WSN,L,5,8,,18-26,5,8.0,Villone,Ray,Hanrahan,2:36,D,30880,.45,-,
45,"Monday, May 25",boxscore,BAL,,TOR,W,4,1,,19-26,5,8.0,Guthrie,Tallet,Sherrill,2:51,D,24904,.48,+,
46,"Tuesday, May 26",boxscore,BAL,,TOR,W,7,2,,20-26,5,7.0,Berken,Romero,Johnson,2:46,N,10130,.53,++,
47,"Wednesday, May 27",boxscore,BAL,,TOR,W-wo,12,10,11,21-26,5,6.0,Báez,Wolfe,,3:42,D,13713,.62,+++,
48,"Thursday, May 28",boxscore,BAL,,DET,W,5,1,,22-26,4,6.0,Hernandez,Galarraga,,2:46,N,11937,.65,++++,
49,"Friday, May 29",boxscore,BAL,,DET,W,7,2,,23-26,4,5.5,Bergesen,Willis,,2:12,N,42704,.69,+++++,
50,"Saturday, May 30",boxscore,BAL,,DET,L,3,6,,23-27,5,6.5,Verlander,Albers,Rodney,2:55,N,34567,.77,-,
51,"Sunday, May 31",boxscore,BAL,,DET,L,0,3,,23-28,5,6.5,Jackson,Berken,Rodney,2:21,D,32233,.65,--,
Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
52,"Monday, Jun 1",boxscore,BAL,@,SEA,W,1,0,,24-28,5,6.5,Hill,Washburn,Sherrill,2:13,N,16979,.62,+,
53,"Tuesday, Jun 2",boxscore,BAL,@,SEA,L,2,8,,24-29,5,7.5,Bédard,Hernandez,,2:54,N,17978,.68,-,
54,"Wednesday, Jun 3",boxscore,BAL,@,SEA,L-wo,2,3,,24-30,5,7.5,Aardsma,Johnson,,2:28,N,18650,.56,--,
55,"Friday, Jun 5",boxscore,BAL,@,OAK,L,1,9,,24-31,5,8.5,Braden,Guthrie,,2:14,N,12608,.50,---,
56,"Saturday, Jun 6",boxscore,BAL,@,OAK,L,4,9,,24-32,5,9.0,Cahill,Berken,,2:42,N,20267,.44,----,
57,"Sunday, Jun 7",boxscore,BAL,@,OAK,L,0,3,,24-33,5,9.5,Mazzaro,Hill,Bailey,2:13,D,17208,.39,-----,
58,"Tuesday, Jun 9",boxscore,BAL,,SEA,W,3,1,,25-33,5,9.0,Bergesen,Vargas,Sherrill,2:19,N,17358,.34,+,
59,"Wednesday, Jun 10",boxscore,BAL,,SEA,L,1,4,,25-34,5,10.0,Hernández,Guthrie,Aardsma,2:25,N,12770,.36,-,
60,"Thursday, Jun 11",boxscore,BAL,,SEA,L,3,6,,25-35,5,11.0,Olson,Uehara,Aardsma,2:53,N,12260,.33,--,
61,"Friday, Jun 12",boxscore,BAL,,ATL,L,2,7,,25-36,5,12.0,Hanson,Berken,,3:15,N,28469,.25,---,
62,"Saturday, Jun 13",boxscore,BAL,,ATL,W,8,4,,26-36,5,12.0,Bass,O'Flaherty,,3:07,N,29645,.19,+,
63,"Sunday, Jun 14",boxscore,BAL,,ATL,W,11,2,,27-36,5,11.0,Bergesen,Lowe,,2:42,D,26770,.22,++,
64,"Tuesday, Jun 16",boxscore,BAL,,NYM,L,4,6,,27-37,5,12.0,Pelfrey,Guthrie,Rodríguez,3:00,N,20626,.25,-,
