Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 1",boxscore,BOS,@,NYY,W,8,2,,1-0,1,up 0.5,Lester,Sabathia,,3:37,D,49514,1.08,+,
2,"Wednesday, Apr 3",boxscore,BOS,@,NYY,W,7,4,,2-0,1,up 1.0,Buchholz,Kuroda,Hanrahan,3:35,N,40216,1.14,++,
3,"Thursday, Apr 4",boxscore,BOS,@,NYY,L,2,4,,2-1,1,Tied,Pettitte,Dempster,Rivera,2:38,N,40611,1.20,-,
4,"Friday, Apr 5",boxscore,BOS,@,TOR,W,6,4,,3-1,1,Tied,Tazawa,Rogers,Hanrahan,3:35,N,45328,1.18,+,
5,"Saturday, Apr 6",boxscore,BOS,@,TOR,L,0,5,,3-2,1,Tied,Happ,Lackey,,2:38,D,45797,1.18,-,
6,"Sunday, Apr 7",boxscore,BOS,@,TOR,W,13,0,,4-2,1,up 1.0,Lester,Dickey,,2:44,D,41168,1.18,+,
7,"Monday, Apr 8",boxscore,BOS,,BAL,W,3,1,,5-2,1,up 2.0,Buchholz,Chen,Hanrahan,2:42,D,37008,1.24,++,
8,"Wednesday, Apr 10",boxscore,BOS,,BAL,L,5,8,,5-3,1,up 1.0,O'Day,Hanrahan,Johnson,2:53,N,30862,1.28,-,
9,"Thursday, Apr 11",boxscore,BOS,,BAL,L,2,3,,5-4,1,Tied,Matusz,Mortensen,Johnson,3:15,N,27704,1.23,--,
10,"Saturday, Apr 13",boxscore,BOS,,TBR,W-wo,2,1,10,6-4,1,up 0.5,Tazawa,Gomes,,3:23,D,33039,1.14,+,
11,"Sunday, Apr 14",boxscore,BOS,,TBR,W,5,0,,7-4,1,up 1.0,Buchholz,Cobb,,2:49,D,35198,1.19,++,
12,"Monday, Apr 15",boxscore,BOS,,TBR,W-wo,3,2,,8-4,1,up 1.5,Bailey,Peralta,,3:03,D,37449,1.26,+++,
13,"Tuesday, Apr 16",boxscore,BOS,@,CLE,W,7,2,,9-4,1,up 1.5,Doubront,Jiménez,,3:30,N,9143,1.15,++++,
14,"Wednesday, Apr 17",boxscore,BOS,@,CLE,W,6,3,,10-4,1,up 1.5,Aceves,Masterson,Bailey,3:24,N,10282,1.18,+++++,
15,"Thursday, Apr 18",boxscore,BOS,@,CLE,W,6,3,,11-4,1,up 2.5,Lester,McAllister,Bailey,3:13,N,12936,1.19,++++++,
16,"Saturday, Apr 20",boxscore,BOS,,KCR,W,4,3,,12-4,1,up 2.0,Buchholz,Herrera,Bailey,2:58,D,35152,1.23,+++++++,
17,"Sunday, Apr 21 (1)",boxscore,BOS,,KCR,L,2,4,,12-5,1,up 1.5,Santana,Dempster,Holland,2:54,D,31483,1.18,-,2013-04-19 (Police manhunt (Boston Marathon bomber))
18,"Sunday, Apr 21 (2)",boxscore,BOS,,KCR,L,4,5,10,12-6,1,up 1.5,Herrera,Miller,Holland,3:11,N,33270,1.20,--,
