Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Friday, Apr 8",boxscore,BAL,@,TBR,L,1,2,,0-1,4,1.0,Kittredge,Tate,Raley,3:14,D,25025,.96,-,
2,"Saturday, Apr 9",boxscore,BAL,@,TBR,L,3,5,,0-2,4,2.0,Fleming,Lyles,Kittredge,2:33,D,15615,.93,--,
3,"Sunday, Apr 10",boxscore,BAL,@,TBR,L,0,8,,0-3,5,3.0,Springs,Wells,,3:10,D,14100,.89,---,
4,"Monday, Apr 11",boxscore,BAL,,MIL,W,2,0,,1-3,4,2.0,Baumann,Houser,López,3:24,D,44461,.76,+,
5,"Tuesday, Apr 12",boxscore,BAL,,MIL,L,4,5,,1-4,5,3.0,Milner,Bautista,Hader,3:38,N,11814,.81,-,
6,"Wednesday, Apr 13",boxscore,BAL,,MIL,L,2,4,,1-5,5,3.0,Boxberger,López,Hader,3:04,N,12704,.75,--,
7,"Friday, Apr 15",boxscore,BAL,,NYY,W-wo,2,1,11,2-5,5,2.5,Krehbiel,Schmidt,,4:15,N,32197,.81,+,
8,"Saturday, Apr 16",boxscore,BAL,,NYY,L,2,5,,2-6,5,2.5,Sears,Lakins,Holmes,3:26,N,28179,.87,-,
9,"Sunday, Apr 17",boxscore,BAL,,NYY,W,5,0,,3-6,5,2.5,López,Loáisiga,,3:16,D,25938,.79,+,
10,"Monday, Apr 18",boxscore,BAL,@,OAK,L,1,5,,3-7,5,3.0,Montas,Krehbiel,,2:59,N,17503,.83,-,
11,"Tuesday, Apr 19",boxscore,BAL,@,OAK,L,1,2,,3-8,5,3.0,Logue,Baumann,Jackson,3:11,N,3748,.78,--,
12,"Wednesday, Apr 20",boxscore,BAL,@,OAK,W,1,0,,4-8,5,3.0,Lyles,Jefferies,López,3:02,D,2703,.73,+,
13,"Thursday, Apr 21",boxscore,BAL,@,OAK,L,4,6,,4-9,5,4.0,Blackburn,Wells,Jiménez,2:50,D,4429,.78,-,
14,"Friday, Apr 22",boxscore,BAL,@,LAA,W,5,3,,5-9,5,4.0,Zimmermann,Detmers,López,2:55,N,31679,.76,+,
15,"Saturday, Apr 23",boxscore,BAL,@,LAA,W,5,4,,6-9,5,4.0,Baker,Loup,López,3:11,N,43883,.82,++,
16,"Sunday, Apr 24",boxscore,BAL,@,LAA,L,6,7,,6-10,5,4.0,Herget,Baumann,Bradley,3:42,D,41984,.81,-,
17,"Tuesday, Apr 26",boxscore,BAL,@,NYY,L,8,12,,6-11,5,5.5,Severino,Lyles,,3:19,N,28596,.82,--,
18,"Wednesday, Apr 27",boxscore,BAL,@,NYY,L,2,5,,6-12,5,6.0,King,Krehbiel,Holmes,2:57,N,31122,.78,---,
19,"Thursday, Apr 28",boxscore,BAL,@,NYY,L,5,10,,6-13,5,7.0,Castro,Zimmermann,,3:51,D,29268,.75,----,
20,"Friday, Apr 29",boxscore,BAL,,BOS,L,1,3,,6-14,5,8.0,Houck,Bradish,Strahm,2:57,N,15685,.64,-----,
21,"Saturday, Apr 30",boxscore,BAL,,BOS,W-wo,2,1,10,7-14,5,8.0,López,Sawamura,,3:09,N,19927,.57,+,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
22,"Sunday, May 1",boxscore,BAL,,BOS,W,9,5,,8-14,5,8.0,Lyles,Pivetta,,3:19,D,19117,.62,++,
23,"Monday, May 2",boxscore,BAL,,MIN,L,1,2,,8-15,5,9.0,Paddack,Baker,Durán,2:56,N,7427,.65,-,
24,"Tuesday, May 3",boxscore,BAL,,MIN,L,2,7,,8-16,5,10.0,Thielbar,Krehbiel,,3:00,N,6678,.60,--,
25,"Wednesday, May 4",boxscore,BAL,,MIN,W,9,4,,9-16,5,9.0,Pérez,Bundy,,2:43,N,7466,.51,+,
26,"Thursday, May 5",boxscore,BAL,,MIN,W,5,3,,10-16,4,8.5,López,Durán,,3:03,N,8652,.57,++,
27,"Sunday, May 8 (1)",boxscore,BAL,,KCR,L,4,6,,10-17,4,8.5,Clarke,López,Barlow,3:17,D,,.58,-,
28,"Sunday, May 8 (2)",boxscore,BAL,,KCR,W,4,2,,11-17,4,8.5,Zimmermann,Lynch,Tate,2:43,D,19893,.52,+,
29,"Monday, May 9",boxscore,BAL,,KCR,W,6,1,,12-17,4,8.5,Wells,Hernández,,2:53,D,9438,.59,++,
30,"Tuesday, May 10",boxscore,BAL,@,STL,W,5,3,,13-17,4,8.5,Bradish,Naughton,Bautista,2:53,N,33649,.60,+++,
31,"Wednesday, May 11",boxscore,BAL,@,STL,L,1,10,,13-18,4,9.5,Mikolas,Watkins,,2:58,N,34533,.65,-,
32,"Thursday, May 12",boxscore,BAL,@,STL,W,3,2,,14-18,4,9.5,Akin,Matz,Bautista,3:05,D,35198,.59,+,
33,"Friday, May 13",boxscore,BAL,@,DET,L,2,4,,14-19,4,10.5,Rodriguez,Lyles,Vest,3:10,N,23941,.66,-,
34,"Saturday, May 14",boxscore,BAL,@,DET,L,0,3,,14-20,4,10.5,Peralta,Zimmermann,Soto,2:29,D,28016,.60,--,
35,"Sunday, May 15",boxscore,BAL,@,DET,L,1,5,,14-21,4,11.5,Skubal,Wells,,3:00,D,20080,.58,---,
36,"Monday, May 16",boxscore,BAL,,NYY,L,2,6,,14-22,5,12.5,Severino,Bradish,,2:59,N,12228,.57,----,
37,"Tuesday, May 17",boxscore,BAL,,NYY,L,4,5,,14-23,5,13.5,Taillon,Tate,Chapman,3:06,N,12635,.49,-----,
38,"Wednesday, May 18",boxscore,BAL,,NYY,L,2,3,,14-24,5,14.5,Cole,Lyles,Holmes,2:34,N,13850,.42,------,
39,"Thursday, May 19",boxscore,BAL,,NYY,W-wo,9,6,,15-24,5,13.5,Bautista,Luetge,,4:01,D,23819,.39,+,
40,"Friday, May 20",boxscore,BAL,,TBR,W-wo,8,6,13,16-24,5,13.0,Vespi,Garza,,4:22,N,15127,.44,++,
41,"Saturday, May 21",boxscore,BAL,,TBR,L,1,6,,16-25,5,14.0,Springs,Bradish,,2:53,N,17573,.48,-,
42,"Sunday, May 22",boxscore,BAL,,TBR,W-wo,7,6,11,17-25,5,12.5,Pérez,Knight,,4:31,D,23778,.41,+,
43,"Monday, May 23",boxscore,BAL,@,NYY,W,6,4,,18-25,5,11.5,Lyles,Cole,López,2:50,N,32187,.43,++,
44,"Tuesday, May 24",boxscore,BAL,@,NYY,L-wo,6,7,11,18-26,5,12.5,Schmidt,Baker,,3:36,N,32289,.52,-,
45,"Wednesday, May 25",boxscore,BAL,@,NYY,L,0,2,,18-27,5,13.5,Sears,Wells,Holmes,3:07,N,39154,.44,--,
