Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 2",boxscore,BAL,@,MIN,L,4,7,,0-1,3,1.0,Santana,Bédard,Nathan,2:56,N,48711,1.01,-,
2,"Tuesday, Apr 3",boxscore,BAL,@,MIN,L,2,3,,0-2,5,1.5,Neshek,Cabrera,Nathan,2:38,N,24439,.96,--,
3,"Wednesday, Apr 4",boxscore,BAL,@,MIN,L,2,7,,0-3,5,2.0,Ortiz,Wright,,2:34,N,27539,.91,---,
4,"Friday, Apr 6",boxscore,BAL,@,NYY,W,6,4,,1-3,5,1.5,Loewen,Mussina,Ray,3:15,N,50074,.97,+,
5,"Saturday, Apr 7",boxscore,BAL,@,NYY,L-wo,7,10,,1-4,5,1.5,Rivera,Ray,,3:13,D,50510,1.02,-,
6,"Sunday, Apr 8",boxscore,BAL,@,NYY,W,6,4,,2-4,5,1.5,Bédard,Rasner,Ray,3:16,D,47679,1.00,+,
7,"Monday, Apr 9",boxscore,BAL,,DET,W,6,2,,3-4,4,1.5,Cabrera,Durbin,,2:28,D,48159,.94,++,
8,"Tuesday, Apr 10",boxscore,BAL,,DET,L,1,3,,3-5,4,1.5,Robertson,Wright,Jones,2:31,N,18594,.98,-,
9,"Wednesday, Apr 11",boxscore,BAL,,DET,L,1,4,12,3-6,5,2.5,Ledezma,Birkins,Jones,3:42,N,13288,.95,--,
10,"Thursday, Apr 12",boxscore,BAL,,KCR,W-wo,2,1,10,4-6,4,1.5,Ray,Standridge,,3:15,N,13229,.88,+,
11,"Friday, Apr 13",boxscore,BAL,,KCR,W,8,1,,5-6,3,1.5,Bédard,Duckworth,,3:06,N,20922,.93,++,
12,"Saturday, Apr 14",boxscore,BAL,,KCR,W,6,4,,6-6,3,1.0,Williamson,Peralta,Ray,3:12,N,15244,.97,+++,
13,"Monday, Apr 16",boxscore,BAL,@,TBD,W,9,7,,7-6,3,1.0,Guthrie,Ryu,Ray,3:04,N,9157,1.14,++++,
14,"Tuesday, Apr 17",boxscore,BAL,@,TBD,L,4,6,,7-7,3,1.5,Fossum,Trachsel,Reyes,2:25,N,9575,1.15,-,
15,"Wednesday, Apr 18",boxscore,BAL,@,TBD,W,6,4,,8-7,3,1.0,Bédard,Glover,Ray,3:04,D,10540,1.15,+,
16,"Friday, Apr 20",boxscore,BAL,,TOR,W-wo,5,4,,9-7,2,1.5,Ray,Zambrano,,2:55,N,25025,1.16,++,
17,"Saturday, Apr 21",boxscore,BAL,,TOR,W,5,2,,10-7,2,1.5,Loewen,Towers,Ray,2:36,N,25898,1.21,+++,
18,"Sunday, Apr 22",boxscore,BAL,,TOR,W,7,3,,11-7,2,1.5,Trachsel,Chacín,,2:57,D,27285,1.26,++++,
19,"Monday, Apr 23",boxscore,BAL,,OAK,L,5,6,,11-8,2,1.5,Haren,Bédard,Street,2:59,N,13862,1.18,-,
20,"Tuesday, Apr 24",boxscore,BAL,,OAK,L,2,4,,11-9,2,1.5,Braden,Guthrie,Street,2:39,D,14452,1.16,--,
21,"Wednesday, Apr 25",boxscore,BAL,,BOS,L,1,6,,11-10,2,2.5,Schilling,Cabrera,,2:59,N,27613,1.31,---,
22,"Thursday, Apr 26",boxscore,BAL,,BOS,L,2,5,,11-11,3,3.5,Beckett,Ray,Papelbon,2:55,N,33522,1.23,----,
23,"Friday, Apr 27",boxscore,BAL,@,CLE,L,4,5,,11-12,3,4.5,Westbrook,Trachsel,Borowski,3:25,N,20484,1.02,-----,
24,"Saturday, Apr 28",boxscore,BAL,@,CLE,W &H,7,4,,12-12,2,3.5,Walker,Cabrera,Ray,3:11,N,25065,.99,+,
