Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 4",boxscore,TOR,@,TBD,W,5,2,,1-0,1,Tied,Halladay,Brazelton,Batista,2:15,D,26018,1.10,+,
2,"Tuesday, Apr 5",boxscore,TOR,@,TBD,W,6,3,,2-0,1,Tied,Chacín,McClung,Batista,2:54,N,9144,1.15,++,
3,"Wednesday, Apr 6",boxscore,TOR,@,TBD,L,5,8,,2-1,1,Tied,Báez,Schoeneweis,,2:42,D,8764,1.20,-,
4,"Friday, Apr 8",boxscore,TOR,,BOS,L,5,6,,2-2,1,Tied,Arroyo,Bush,Foulke,2:48,N,50560,1.16,--,
5,"Saturday, Apr 9",boxscore,TOR,,BOS,W,12,5,,3-2,1,Tied,Frasor,Wells,,2:40,D,28765,1.18,+,
6,"Sunday, Apr 10",boxscore,TOR,,BOS,W-wo,4,3,,4-2,1,up 1.0,Batista,Timlin,,2:55,D,22845,1.15,++,
7,"Monday, Apr 11",boxscore,TOR,@,OAK,W,10,3,,5-2,1,up 1.5,Chacín,Saarloos,,2:48,N,44815,1.09,+++,
8,"Tuesday, Apr 12",boxscore,TOR,@,OAK,W,5,2,,6-2,1,up 1.5,Towers,Haren,Batista,2:21,N,10106,1.11,++++,
9,"Wednesday, Apr 13",boxscore,TOR,@,OAK,L,3,6,,6-3,1,up 0.5,Calero,Frasor,,2:35,N,15860,1.13,-,
10,"Thursday, Apr 14",boxscore,TOR,@,TEX,W,2,1,,7-3,1,up 1.5,Halladay,Astacio,,2:16,N,19366,1.12,+,
11,"Friday, Apr 15",boxscore,TOR,@,TEX,L,2,4,,7-4,1,up 0.5,Drese,Lilly,Cordero,2:15,N,30453,1.20,-,
12,"Saturday, Apr 16",boxscore,TOR,@,TEX,W,8,0,,8-4,1,up 0.5,Chacín,Rogers,,2:49,N,40499,1.11,+,
13,"Sunday, Apr 17",boxscore,TOR,@,TEX,L,5,6,,8-5,2,0.5,Young,Towers,Cordero,2:25,D,31310,1.16,-,
14,"Monday, Apr 18",boxscore,TOR,@,BOS,L,7,12,,8-6,3,0.5,Schilling,Bush,,3:41,D,35243,1.35,--,
