Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 2",boxscore,NYY,,TBD,W,9,5,,1-0,1,Tied,Vizcaino,Stokes,,3:01,D,55035,1.07,+,
2,"Thursday, Apr 5",boxscore,NYY,,TBD,L,6,7,,1-1,2,0.5,Lugo,Vizcaino,Reyes,3:42,N,52096,1.14,-,
3,"Friday, Apr 6",boxscore,NYY,,BAL,L,4,6,,1-2,3,1.0,Loewen,Mussina,Ray,3:15,N,50074,1.07,--,
4,"Saturday, Apr 7",boxscore,NYY,,BAL,W-wo,10,7,,2-2,1,Tied,Rivera,Ray,,3:13,D,50510,1.06,+,
5,"Sunday, Apr 8",boxscore,NYY,,BAL,L,4,6,,2-3,3,1.0,Bédard,Rasner,Ray,3:16,D,47679,1.09,-,
6,"Monday, Apr 9",boxscore,NYY,@,MIN,W,8,2,,3-3,2,1.0,Pavano,Ponson,,2:33,N,26047,.95,+,
7,"Tuesday, Apr 10",boxscore,NYY,@,MIN,W,10,1,,4-3,1,Tied,Pettitte,Bonser,,2:48,N,24552,.97,++,
8,"Wednesday, Apr 11",boxscore,NYY,@,MIN,L,1,5,,4-4,2,1.0,Ortiz,Farnsworth,,2:36,N,30131,1.08,-,
9,"Friday, Apr 13",boxscore,NYY,@,OAK,L-wo,4,5,11,4-5,3,1.5,Street,Bruney,,3:55,N,35077,1.03,--,
10,"Saturday, Apr 14",boxscore,NYY,@,OAK,W,4,3,13,5-5,3,1.0,Bruney,DiNardo,,4:25,N,35077,.98,+,
11,"Sunday, Apr 15",boxscore,NYY,@,OAK,L-wo,4,5,,5-6,4,1.5,Marshall,Rivera,,2:48,D,35077,1.02,-,
12,"Tuesday, Apr 17",boxscore,NYY,,CLE,W,10,3,,6-6,3,1.5,Wright,Westbrook,,3:12,N,38438,.98,+,
13,"Wednesday, Apr 18",boxscore,NYY,,CLE,W,9,2,,7-6,3,1.0,Igawa,Sowers,,2:54,N,41379,1.02,++,
14,"Thursday, Apr 19",boxscore,NYY,,CLE,W-wo,8,6,,8-6,2,1.0,Henn,Borowski,,3:36,D,40872,1.06,+++,
15,"Friday, Apr 20",boxscore,NYY,@,BOS,L,6,7,,8-7,3,2.0,Snyder,Rivera,Okajima,3:18,N,36786,1.22,-,
16,"Saturday, Apr 21",boxscore,NYY,@,BOS,L,5,7,,8-8,3,3.0,Beckett,Karstens,Papelbon,3:26,D,36342,1.19,--,
17,"Sunday, Apr 22",boxscore,NYY,@,BOS,L,6,7,,8-9,3,4.0,Matsuzaka,Proctor,Papelbon,3:34,N,36905,1.14,---,
18,"Monday, Apr 23",boxscore,NYY,@,TBD,L,8,10,,8-10,4,4.0,Fossum,Igawa,,3:28,N,20409,1.00,----,
19,"Tuesday, Apr 24",boxscore,NYY,@,TBD,L,4,6,,8-11,5,4.0,Salas,Wang,Reyes,2:50,N,22328,.99,-----,
20,"Thursday, Apr 26",boxscore,NYY,,TOR,L,0,6,,8-12,4,5.5,Burnett,Hughes,,3:19,N,45118,.94,------,
21,"Friday, Apr 27",boxscore,NYY,,BOS,L,4,11,,8-13,5,6.5,Matsuzaka,Pettitte,,3:56,N,55005,.94,-------,
22,"Saturday, Apr 28",boxscore,NYY,,BOS,W,3,1,,9-13,4,5.5,Igawa,Wakefield,Rivera,3:25,D,55026,.88,+,
23,"Sunday, Apr 29",boxscore,NYY,,BOS,L,4,7,,9-14,5,6.5,Tavarez,Wang,Papelbon,3:11,D,54856,.96,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
24,"Tuesday, May 1",boxscore,NYY,@,TEX,W,10,1,,10-14,4,5.5,Hughes,Loe,,2:50,N,32310,.70,+,
25,"Thursday, May 3 (1)",boxscore,NYY,@,TEX,W,4,3,,11-14,2,5.5,Vizcaino,Benoit,Rivera,2:49,D,,.80,++,2007-05-02 (Rain)
26,"Thursday, May 3 (2)",boxscore,NYY,@,TEX,W,5,2,,12-14,2,5.5,Mussina,Tejeda,Rivera,3:20,N,40671,.86,+++,
27,"Friday, May 4",boxscore,NYY,,SEA,L,11,15,,12-15,2,6.5,O'Flaherty,Bean,Putz,3:29,N,49519,.90,-,
28,"Saturday, May 5",boxscore,NYY,,SEA,W,8,1,,13-15,2,5.5,Wang,Weaver,,2:47,D,51702,.87,+,
29,"Sunday, May 6",boxscore,NYY,,SEA,W,5,0,,14-15,2,5.5,Rasner,Washburn,,2:32,D,52553,.90,++,
30,"Monday, May 7",boxscore,NYY,,SEA,L,2,3,,14-16,2,6.0,Sherrill,Rivera,Putz,2:47,N,47424,.98,-,
31,"Tuesday, May 8",boxscore,NYY,,TEX,W,8,2,,15-16,2,6.0,Pettitte,Wood,,2:59,N,50705,.88,+,
32,"Wednesday, May 9",boxscore,NYY,,TEX,W,6,2,,16-16,2,6.0,Mussina,Tejeda,,3:02,N,47930,.90,++,
33,"Thursday, May 10",boxscore,NYY,,TEX,L,2,14,,16-17,2,7.0,McCarthy,Wang,,3:24,D,52147,.95,-,
34,"Friday, May 11",boxscore,NYY,@,SEA,L,0,3,,16-18,3,7.0,Washburn,Rasner,Putz,2:19,N,44214,.96,--,
35,"Saturday, May 12",boxscore,NYY,@,SEA,W,7,2,,17-18,2,7.0,DeSalvo,Batista,,2:42,N,46153,.89,+,
36,"Sunday, May 13",boxscore,NYY,@,SEA,L,1,2,,17-19,2,8.0,Ramirez,Pettitte,Putz,2:35,D,46181,.92,-,
37,"Wednesday, May 16 (1)",boxscore,NYY,@,CHW,L,3,5,,17-20,2,8.0,Danks,Mussina,Thornton,2:38,D,30953,.90,--,2007-05-15 (Rain)
38,"Wednesday, May 16 (2)",boxscore,NYY,@,CHW,W,8,1,,18-20,2,8.0,Wang,Contreras,,3:00,N,34609,.83,+,
39,"Thursday, May 17",boxscore,NYY,@,CHW,L,1,4,,18-21,2,9.5,Garland,DeSalvo,Jenks,2:48,D,30488,.92,-,
40,"Friday, May 18",boxscore,NYY,@,NYM,L,2,3,,18-22,2,10.0,Pérez,Pettitte,Wagner,2:18,N,56337,.76,--,
41,"Saturday, May 19",boxscore,NYY,@,NYM,L,7,10,,18-23,4,10.5,Glavine,Rasner,,3:36,D,56137,.71,---,
42,"Sunday, May 20",boxscore,NYY,@,NYM,W,6,2,,19-23,2,10.5,Clippard,Maine,,3:14,N,56438,.65,+,
