Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 4",boxscore,BAL,,OAK,W,4,0,,1-0,1,Tied,Lopez,Zito,,2:44,D,48271,.99,+,
2,"Wednesday, Apr 6",boxscore,BAL,,OAK,L,0,9,,1-1,3,0.5,Saarloos,Cabrera,,3:08,N,22415,1.02,-,
3,"Thursday, Apr 7",boxscore,BAL,,OAK,L,1,5,,1-2,3,1.0,Rincon,Kline,,3:05,N,16395,.98,--,
4,"Friday, Apr 8",boxscore,BAL,@,NYY,W,12,5,,2-2,1,Tied,Ponson,Wright,,3:33,N,43128,1.08,+,
5,"Saturday, Apr 9",boxscore,BAL,@,NYY,L,5,8,,2-3,4,1.0,Sturtze,Reed,Rivera,3:07,D,50275,1.10,-,
6,"Sunday, Apr 10",boxscore,BAL,@,NYY,W,7,2,,3-3,2,1.0,Lopez,Pavano,,2:49,D,46797,1.04,+,
7,"Tuesday, Apr 12",boxscore,BAL,@,TBD,W,7,6,,4-3,2,1.5,Williams,Fossum,Ryan,3:15,N,10563,1.10,++,
8,"Wednesday, Apr 13",boxscore,BAL,@,TBD,W,5,1,,5-3,2,0.5,Kline,Hendrickson,,3:25,N,9226,1.17,+++,
9,"Thursday, Apr 14",boxscore,BAL,@,TBD,L,7,12,,5-4,2,1.5,Bell,Ponson,,2:44,N,9797,1.21,-,
10,"Friday, Apr 15",boxscore,BAL,,NYY,W,8,1,,6-4,2,0.5,Chen,Pavano,,2:33,N,48061,1.17,+,
11,"Saturday, Apr 16",boxscore,BAL,,NYY,W,7,6,,7-4,2,0.5,Kline,Gordon,Ryan,3:46,D,48598,1.19,++,
12,"Sunday, Apr 17",boxscore,BAL,,NYY,W,8,4,,8-4,1,up 0.5,Cabrera,Brown,,2:47,D,47883,1.22,+++,
13,"Monday, Apr 18",boxscore,BAL,,DET,L,3,13,,8-5,1,Tied,Johnson,Bédard,,3:06,N,16301,1.18,-,
14,"Tuesday, Apr 19",boxscore,BAL,,DET,W,8,4,,9-5,1,up 0.5,Ponson,Robertson,,2:37,N,18009,1.16,+,
15,"Wednesday, Apr 20",boxscore,BAL,,BOS,L,0,8,,9-6,1,Tied,Wells,Chen,,3:02,N,36478,1.30,-,
16,"Thursday, Apr 21",boxscore,BAL,,BOS,L,0,1,,9-7,2,1.0,Clement,Lopez,Foulke,2:44,N,40419,1.32,--,
17,"Friday, Apr 22",boxscore,BAL,@,TOR,W,13,5,,10-7,1,Tied,Williams,Speier,,3:05,N,18095,1.25,+,
18,"Saturday, Apr 23",boxscore,BAL,@,TOR,W,4,1,,11-7,1,up 1.0,Bédard,Bush,,2:49,D,20051,1.30,++,
19,"Sunday, Apr 24",boxscore,BAL,@,TOR,W,7,1,,12-7,1,up 1.0,Ponson,Halladay,,2:22,D,20566,1.33,+++,
20,"Monday, Apr 25",boxscore,BAL,@,BOS,W,8,4,,13-7,1,up 2.0,Chen,Wells,,3:18,N,35003,1.44,++++,
21,"Tuesday, Apr 26",boxscore,BAL,@,BOS,W,11,8,,14-7,1,up 3.0,Julio,Foulke,Ryan,4:03,N,35670,1.42,+++++,
22,"Friday, Apr 29",boxscore,BAL,,TBD,W,5,0,,15-7,1,up 3.0,Bédard,Nomo,,2:38,N,24910,1.35,++++++,
23,"Saturday, Apr 30",boxscore,BAL,,TBD,W,7,5,,16-7,1,up 4.0,Williams,Harper,Ryan,2:45,D,19920,1.32,+++++++,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
24,"Sunday, May 1",boxscore,BAL,,TBD,W,7,4,,17-7,1,up 4.0,Chen,Brazelton,Ryan,2:42,D,30784,1.29,++++++++,
25,"Monday, May 2",boxscore,BAL,,TOR,L,2,6,12,17-8,1,up 3.0,Schoeneweis,Williams,,4:09,N,15641,1.48,-,
26,"Tuesday, May 3",boxscore,BAL,,TOR,L,0,1,,17-9,1,up 2.0,Towers,Cabrera,Batista,2:36,N,17934,1.49,--,
27,"Wednesday, May 4",boxscore,BAL,,TOR,W,5,1,,18-9,1,up 3.0,Bédard,Halladay,,2:39,D,17645,1.55,+,
