Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 28",boxscore,BOS,@,SEA,L,4,12,,0-1,2,1.0,Gonzales,Sale,,3:34,D,45600,.94,-,
2,"Friday, Mar 29",boxscore,BOS,@,SEA,W,7,6,,1-1,2,0.5,Johnson,Strickland,Barnes,3:20,N,29002,.97,+,
3,"Saturday, Mar 30",boxscore,BOS,@,SEA,L,5,6,,1-2,5,1.0,Leake,Rodriguez,Rumbelow,3:10,N,34933,.97,-,
4,"Sunday, Mar 31",boxscore,BOS,@,SEA,L,8,10,,1-3,5,2.0,LeBlanc,Porcello,Bradford,3:39,D,33393,.93,--,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
5,"Monday, Apr 1",boxscore,BOS,@,OAK,L,0,7,,1-4,5,3.0,Brooks,Price,,2:42,N,12417,.87,---,
6,"Tuesday, Apr 2",boxscore,BOS,@,OAK,L,0,1,,1-5,5,4.0,Fiers,Sale,Treinen,2:42,N,12721,.80,----,
7,"Wednesday, Apr 3",boxscore,BOS,@,OAK,W,6,3,,2-5,5,3.0,Barnes,Rodney,Brasier,3:21,N,14207,.77,+,
8,"Thursday, Apr 4",boxscore,BOS,@,OAK,L,3,7,,2-6,5,3.5,Anderson,Rodriguez,,3:16,D,15095,.83,-,
9,"Friday, Apr 5",boxscore,BOS,@,ARI,L,8,15,,2-7,5,4.5,Godley,Porcello,,3:23,D,48338,.78,--,
10,"Saturday, Apr 6",boxscore,BOS,@,ARI,L-wo,4,5,,2-8,5,4.5,Holland,Brewer,,3:19,N,35969,.74,---,
11,"Sunday, Apr 7",boxscore,BOS,@,ARI,W,1,0,,3-8,4,4.5,Walden,Kelly,Brasier,2:29,D,31565,.67,+,
12,"Tuesday, Apr 9",boxscore,BOS,,TOR,L,5,7,,3-9,5,6.0,Shoemaker,Sale,Giles,3:36,D,36179,.80,-,
13,"Thursday, Apr 11",boxscore,BOS,,TOR,W-wo,7,6,,4-9,4,6.0,Walden,Giles,,3:21,N,36510,.75,+,
14,"Friday, Apr 12",boxscore,BOS,,BAL,W,6,4,,5-9,3,6.0,Rodriguez,Hess,Brasier,2:55,N,33664,.84,++,
15,"Saturday, Apr 13",boxscore,BOS,,BAL,L,5,9,,5-10,4,6.0,Cashner,Porcello,,3:39,D,35823,.85,-,
16,"Sunday, Apr 14",boxscore,BOS,,BAL,W,4,0,,6-10,3,6.0,Price,Means,,3:07,D,36023,.81,+,
17,"Monday, Apr 15",boxscore,BOS,,BAL,L,1,8,,6-11,4,6.5,Straily,Velázquez,,3:17,D,35860,.86,-,
18,"Tuesday, Apr 16",boxscore,BOS,@,NYY,L,0,8,,6-12,5,7.5,Paxton,Sale,,2:23,N,45008,.82,--,
19,"Wednesday, Apr 17",boxscore,BOS,@,NYY,L,3,5,,6-13,5,8.5,Kahnle,Workman,Chapman,2:56,N,44106,.74,---,
20,"Friday, Apr 19",boxscore,BOS,@,TBR,W,6,4,,7-13,5,7.0,Workman,Castillo,Brasier,3:04,N,21343,.77,+,
21,"Saturday, Apr 20",boxscore,BOS,@,TBR,W,6,5,,8-13,4,6.0,Barnes,Alvarado,Brasier,3:12,N,22940,.86,++,
22,"Sunday, Apr 21",boxscore,BOS,@,TBR,W,4,3,11,9-13,4,5.0,Walden,Alvarado,Brasier,4:09,D,18740,.92,+++,
23,"Tuesday, Apr 23 (1)",boxscore,BOS,,DET,L,4,7,,9-14,4,7.0,Boyd,Brewer,,2:55,D,30015,.81,-,2019-04-22 (Inclement weather)
24,"Tuesday, Apr 23 (2)",boxscore,BOS,,DET,L,2,4,,9-15,4,7.0,Turnbull,Velázquez,Greene,3:29,N,30578,.75,--,
25,"Wednesday, Apr 24",boxscore,BOS,,DET,W,11,4,,10-15,4,6.0,Rodriguez,Ross,,3:24,N,31763,.67,+,
26,"Thursday, Apr 25",boxscore,BOS,,DET,W,7,3,,11-15,4,5.5,Porcello,Zimmermann,,2:39,N,34165,.74,++,
27,"Saturday, Apr 27",boxscore,BOS,,TBR,L,1,2,,11-16,4,6.5,Morton,Price,Pagán,3:21,D,34773,.92,-,
28,"Sunday, Apr 28",boxscore,BOS,,TBR,L,2,5,,11-17,4,7.5,Glasnow,Sale,Castillo,2:31,D,33823,.81,--,
29,"Monday, Apr 29",boxscore,BOS,,OAK,W,9,4,,12-17,4,7.5,Brasier,Montas,Barnes,3:23,N,30866,.62,+,
30,"Tuesday, Apr 30",boxscore,BOS,,OAK,W,5,1,,13-17,4,7.0,Porcello,Brooks,,2:34,N,31754,.63,++,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
31,"Wednesday, May 1",boxscore,BOS,,OAK,W,7,3,,14-17,4,5.5,Walden,Fiers,,2:54,D,33708,.74,+++,
32,"Thursday, May 2",boxscore,BOS,@,CHW,L-wo,4,6,,14-18,4,6.5,Fulmer,Brasier,,3:33,N,15118,.82,-,
33,"Friday, May 3",boxscore,BOS,@,CHW,W,6,1,,15-18,4,6.5,Sale,López,,3:15,N,17504,.76,+,
34,"Saturday, May 4",boxscore,BOS,@,CHW,W,15,2,,16-18,3,5.5,Rodriguez,Banuelos,,3:34,N,30068,.83,++,
35,"Sunday, May 5",boxscore,BOS,@,CHW,W,9,2,,17-18,3,5.0,Workman,Herrera,,3:33,D,36553,.87,+++,
36,"Monday, May 6",boxscore,BOS,@,BAL,L,1,4,,17-19,3,6.0,Means,Smith,Givens,2:39,N,11042,.99,-,
37,"Tuesday, May 7",boxscore,BOS,@,BAL,W,8,5,,18-19,3,6.0,Walden,Kline,Barnes,3:21,N,10703,.88,+,
38,"Wednesday, May 8",boxscore,BOS,@,BAL,W,2,1,12,19-19,3,5.0,Brasier,Ramírez,Hembree,4:01,N,12451,.95,++,
39,"Friday, May 10",boxscore,BOS,,SEA,W,14,1,,20-19,3,4.0,Rodriguez,Swanson,,3:02,N,33731,.99,+++,
40,"Saturday, May 11",boxscore,BOS,,SEA,W,9,5,,21-19,3,4.0,Porcello,Hernández,,3:15,D,36024,1.02,++++,
41,"Sunday, May 12",boxscore,BOS,,SEA,W,11,2,,22-19,3,3.0,Velázquez,Gonzales,,3:23,D,33069,1.10,+++++,
42,"Tuesday, May 14",boxscore,BOS,,COL,L,4,5,11,22-20,3,4.0,Dunn,Brasier,Davis,3:42,N,35804,1.09,-,
43,"Wednesday, May 15",boxscore,BOS,,COL,W-wo,6,5,10,23-20,3,4.0,Workman,Bettis,,3:44,N,37032,1.06,+,
44,"Friday, May 17",boxscore,BOS,,HOU,L,1,3,,23-21,3,4.5,Harris,Porcello,Osuna,3:00,N,35558,1.08,-,
45,"Saturday, May 18",boxscore,BOS,,HOU,L,3,7,,23-22,3,5.0,James,Velázquez,,3:31,N,36887,1.07,--,
46,"Sunday, May 19",boxscore,BOS,,HOU,W,4,3,,24-22,3,4.5,Walden,Valdez,Workman,3:02,D,35796,.99,+,
47,"Monday, May 20",boxscore,BOS,@,TOR,W,12,2,,25-22,3,4.5,Price,Jackson,,2:56,D,26794,1.07,++,
48,"Tuesday, May 21",boxscore,BOS,@,TOR,L,3,10,,25-23,3,5.5,Stroman,Rodriguez,,3:17,N,14407,1.09,-,
49,"Wednesday, May 22",boxscore,BOS,@,TOR,W,6,5,13,26-23,3,5.5,Hembree,Cordero,,4:30,N,18285,1.04,+,
50,"Thursday, May 23",boxscore,BOS,@,TOR,W,8,2,,27-23,3,5.5,Weber,Gaviglio,,3:01,D,36526,1.04,++,
51,"Friday, May 24",boxscore,BOS,@,HOU,L,3,4,,27-24,3,6.0,Miley,Sale,Osuna,2:48,N,35606,1.10,-,
52,"Saturday, May 25",boxscore,BOS,@,HOU,L-wo,3,4,,27-25,3,7.5,Osuna,Barnes,,3:28,N,40722,1.07,--,
53,"Sunday, May 26",boxscore,BOS,@,HOU,W,4,1,,28-25,3,6.5,Rodriguez,Verlander,Walden,3:06,D,41502,.96,+,
54,"Monday, May 27",boxscore,BOS,,CLE,W,12,5,,29-25,3,6.5,Porcello,Rodriguez,,3:32,D,37113,1.03,++,
55,"Tuesday, May 28",boxscore,BOS,,CLE,L,5,7,,29-26,3,6.5,Wittgren,Lakins,Hand,4:03,N,32984,1.03,-,
56,"Wednesday, May 29",boxscore,BOS,,CLE,L,9,14,,29-27,3,7.5,Bieber,Weber,Hand,3:42,N,34824,1.01,--,
57,"Friday, May 31",boxscore,BOS,@,NYY,L,1,4,,29-28,3,8.5,Happ,Sale,Chapman,2:51,N,45556,1.02,---,
