Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 3",boxscore,TOR,@,TBR,W,5,3,,1-0,1,up 0.5,Stroman,Archer,Osuna,2:51,D,31042,1.10,+,
2,"Monday, Apr 4",boxscore,TOR,@,TBR,W,5,3,,2-0,1,up 0.5,Dickey,Smyly,Osuna,2:58,N,15116,1.10,++,
3,"Tuesday, Apr 5",boxscore,TOR,@,TBR,L,2,3,,2-1,1,Tied,Colomé,Cecil,,3:07,N,12757,1.13,-,
4,"Wednesday, Apr 6",boxscore,TOR,@,TBR,L,3,5,,2-2,2,1.0,Ramírez,Floyd,,2:47,D,14257,1.11,--,
5,"Friday, Apr 8",boxscore,TOR,,BOS,L,7,8,,2-3,4,2.5,Barnes,Storen,Kimbrel,3:24,N,48871,1.08,---,
6,"Saturday, Apr 9",boxscore,TOR,,BOS,L,4,8,,2-4,5,3.0,Porcello,Dickey,,2:48,D,47138,1.01,----,
7,"Sunday, Apr 10",boxscore,TOR,,BOS,W,3,0,,3-4,4,3.0,Estrada,Wright,Osuna,2:27,D,46158,.96,+,
8,"Tuesday, Apr 12",boxscore,TOR,,NYY,L,2,3,,3-5,5,4.5,Barbato,Cecil,Miller,3:03,N,28819,1.00,-,
9,"Wednesday, Apr 13",boxscore,TOR,,NYY,W,7,2,,4-5,4,3.5,Happ,Pineda,,2:43,N,27938,.92,+,
10,"Thursday, Apr 14",boxscore,TOR,,NYY,W,4,2,,5-5,2,2.5,Stroman,Eovaldi,Osuna,2:22,N,36238,.94,++,
11,"Friday, Apr 15",boxscore,TOR,@,BOS,L,3,5,,5-6,3,3.5,Porcello,Dickey,Kimbrel,3:02,N,31415,1.07,-,
12,"Saturday, Apr 16",boxscore,TOR,@,BOS,L,2,4,,5-7,3,3.5,Price,Estrada,Kimbrel,2:43,D,36267,1.00,--,
13,"Sunday, Apr 17",boxscore,TOR,@,BOS,W,5,3,,6-7,3,3.0,Sanchez,Wright,,3:09,D,37217,.98,+,
14,"Monday, Apr 18",boxscore,TOR,@,BOS,W,4,3,,7-7,2,2.5,Happ,Uehara,Storen,3:12,D,37168,1.03,++,
15,"Tuesday, Apr 19",boxscore,TOR,@,BAL,W,4,3,,8-7,2,1.5,Stroman,Wright,Osuna,2:50,N,16783,1.14,+++,
16,"Wednesday, Apr 20",boxscore,TOR,@,BAL,L-wo,3,4,10,8-8,2,2.5,Givens,Biagini,,3:22,N,15404,1.21,-,
17,"Thursday, Apr 21",boxscore,TOR,@,BAL,L,2,3,,8-9,2,3.5,O'Day,Cecil,Britton,3:09,N,17644,1.15,--,
18,"Friday, Apr 22",boxscore,TOR,,OAK,L,5,8,,8-10,3,3.5,Gray,Sanchez,Madson,3:21,N,34251,.95,---,
19,"Saturday, Apr 23",boxscore,TOR,,OAK,W,9,3,,9-10,2,3.5,Happ,Bassitt,,2:38,D,46334,.91,+,
20,"Sunday, Apr 24",boxscore,TOR,,OAK,W,6,3,,10-10,2,2.5,Hutchison,Surkamp,Osuna,2:44,D,46300,.94,++,
21,"Monday, Apr 25",boxscore,TOR,,CHW,L,5,7,,10-11,3,2.5,Putnam,Cecil,Robertson,3:24,N,24333,1.00,-,
22,"Tuesday, Apr 26",boxscore,TOR,,CHW,L,1,10,,10-12,4,2.5,Sale,Dickey,,2:35,N,23726,.93,--,
23,"Wednesday, Apr 27",boxscore,TOR,,CHW,L,0,4,,10-13,4,3.5,Quintana,Estrada,,2:52,N,28759,.90,---,
24,"Friday, Apr 29",boxscore,TOR,@,TBR,W,6,1,,11-13,3,4.0,Sanchez,Smyly,,2:43,N,13679,.92,+,
25,"Saturday, Apr 30",boxscore,TOR,@,TBR,L-wo,3,4,,11-14,4,4.0,Cedeño,Cecil,,2:52,N,14948,.93,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
