Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 3",boxscore,BOS,@,NYY,L,2,9,,0-1,5,1.0,Johnson,Wells,,3:19,N,54818,1.09,-,
2,"Tuesday, Apr 5",boxscore,BOS,@,NYY,L-wo,3,4,,0-2,4,2.0,Rivera,Foulke,,3:16,D,54690,1.07,--,
3,"Wednesday, Apr 6",boxscore,BOS,@,NYY,W,7,3,,1-2,4,1.0,Timlin,Rivera,,3:22,D,55165,1.02,+,
4,"Friday, Apr 8",boxscore,BOS,@,TOR,W,6,5,,2-2,1,Tied,Arroyo,Bush,Foulke,2:48,N,50560,1.11,++,
5,"Saturday, Apr 9",boxscore,BOS,@,TOR,L,5,12,,2-3,4,1.0,Frasor,Wells,,2:40,D,28765,1.17,-,
6,"Sunday, Apr 10",boxscore,BOS,@,TOR,L-wo,3,4,,2-4,5,2.0,Batista,Timlin,,2:55,D,22845,1.13,--,
7,"Monday, Apr 11",boxscore,BOS,,NYY,W,8,1,,3-4,4,2.0,Wakefield,Mussina,,2:49,D,33702,1.05,+,
8,"Wednesday, Apr 13",boxscore,BOS,,NYY,L,2,5,,3-5,4,2.5,Wright,Schilling,Rivera,3:08,N,35115,1.07,-,
9,"Thursday, Apr 14",boxscore,BOS,,NYY,W,8,5,,4-5,3,2.5,Foulke,Gordon,,3:13,N,35251,.98,+,
10,"Friday, Apr 15",boxscore,BOS,,TBD,W,10,0,,5-5,3,1.5,Wells,Nomo,,2:48,N,35023,1.07,++,
11,"Saturday, Apr 16",boxscore,BOS,,TBD,W,6,2,,6-5,3,1.5,Clement,Brazelton,,2:48,N,35106,1.10,+++,
12,"Sunday, Apr 17",boxscore,BOS,,TBD,W,3,1,,7-5,3,1.0,Wakefield,Kazmir,Foulke,2:35,D,35232,1.12,++++,
13,"Monday, Apr 18",boxscore,BOS,,TOR,W,12,7,,8-5,1,Tied,Schilling,Bush,,3:41,D,35243,1.25,+++++,
14,"Tuesday, Apr 19",boxscore,BOS,,TOR,L,3,4,,8-6,3,1.0,Halladay,Foulke,Batista,2:29,N,35598,1.28,-,
15,"Wednesday, Apr 20",boxscore,BOS,@,BAL,W,8,0,,9-6,1,Tied,Wells,Chen,,3:02,N,36478,1.26,+,
16,"Thursday, Apr 21",boxscore,BOS,@,BAL,W,1,0,,10-6,1,up 1.0,Clement,Lopez,Foulke,2:44,N,40419,1.33,++,
17,"Friday, Apr 22",boxscore,BOS,@,TBD,L-wo,4,5,,10-7,1,Tied,Báez,Embree,,2:49,N,30530,1.29,-,
18,"Saturday, Apr 23",boxscore,BOS,@,TBD,L,5,6,,10-8,2,1.0,Fossum,Schilling,Carter,2:38,N,33220,1.27,--,
