Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 2",boxscore,NYY,@,TBR,L,3,7,,0-1,5,1.0,Archer,Tanaka,Colomé,3:21,D,31042,1.08,-,
2,"Tuesday, Apr 4",boxscore,NYY,@,TBR,W,5,0,,1-1,3,0.5,Sabathia,Odorizzi,,3:07,N,19366,1.05,+,
3,"Wednesday, Apr 5",boxscore,NYY,@,TBR,L,1,4,,1-2,4,1.5,Cobb,Pineda,Colomé,3:17,N,12737,1.07,-,
4,"Friday, Apr 7",boxscore,NYY,@,BAL,L,5,6,,1-3,4,2.5,Hart,Clippard,Britton,3:20,N,25248,1.04,--,
5,"Saturday, Apr 8",boxscore,NYY,@,BAL,L,4,5,,1-4,4,3.5,Givens,Betances,Britton,3:35,D,38916,1.00,---,
6,"Sunday, Apr 9",boxscore,NYY,@,BAL,W,7,3,,2-4,4,2.5,Betances,O'Day,,3:22,D,42487,.94,+,
7,"Monday, Apr 10",boxscore,NYY,,TBR,W,8,1,,3-4,4,2.0,Pineda,Cobb,,2:37,D,46955,.97,++,
8,"Wednesday, Apr 12",boxscore,NYY,,TBR,W,8,4,,4-4,3,1.5,Mitchell,Díaz,Chapman,3:33,D,38002,1.04,+++,
9,"Thursday, Apr 13",boxscore,NYY,,TBR,W,3,2,,5-4,2,1.5,Severino,Cedeño,Chapman,2:59,N,34772,1.13,++++,
10,"Friday, Apr 14",boxscore,NYY,,STL,W,4,3,,6-4,2,1.5,Tanaka,Wacha,Chapman,2:54,N,39102,.99,+++++,
11,"Saturday, Apr 15",boxscore,NYY,,STL,W,3,2,,7-4,2,0.5,Sabathia,Martinez,Clippard,3:05,D,43031,1.02,++++++,
12,"Sunday, Apr 16",boxscore,NYY,,STL,W,9,3,,8-4,2,0.5,Pineda,Wainwright,,3:17,N,31706,1.06,+++++++,
13,"Monday, Apr 17",boxscore,NYY,,CHW,W,7,4,,9-4,1,Tied,Montgomery,Holland,Chapman,2:49,N,28181,1.13,++++++++,
14,"Tuesday, Apr 18",boxscore,NYY,,CHW,L,1,4,,9-5,1,Tied,González,Severino,Robertson,2:16,N,30075,1.13,-,
15,"Wednesday, Apr 19",boxscore,NYY,,CHW,W,9,1,,10-5,1,Tied,Tanaka,Covey,,2:40,N,30014,1.11,+,
16,"Friday, Apr 21",boxscore,NYY,@,PIT,L,3,6,,10-6,2,1.5,Nicasio,Sabathia,Watson,3:19,N,30565,1.11,-,
17,"Saturday, Apr 22",boxscore,NYY,@,PIT,W,11,5,,11-6,2,1.5,Betances,Vazquez,,3:17,D,36140,1.08,+,
18,"Sunday, Apr 23",boxscore,NYY,@,PIT,L,1,2,,11-7,2,1.5,Nova,Montgomery,Watson,2:39,D,27840,1.07,-,
19,"Wednesday, Apr 26",boxscore,NYY,@,BOS,W,3,1,,12-7,2,1.5,Severino,Porcello,Chapman,3:16,N,32072,1.27,+,
20,"Thursday, Apr 27",boxscore,NYY,@,BOS,W,3,0,,13-7,2,1.0,Tanaka,Sale,,2:21,N,34054,1.32,++,
21,"Friday, Apr 28",boxscore,NYY,,BAL,W-wo,14,11,10,14-7,1,Tied,Chapman,Aquino,,3:41,N,36912,1.46,+++,
22,"Saturday, Apr 29",boxscore,NYY,,BAL,W,12,4,,15-7,1,up 1.0,Pineda,Jiménez,,3:12,D,37303,1.48,++++,
23,"Sunday, Apr 30",boxscore,NYY,,BAL,L,4,7,11,15-8,1,Tied,Verrett,Mitchell,,4:37,D,41022,1.47,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
24,"Monday, May 1",boxscore,NYY,,TOR,L,1,7,,15-9,2,1.0,Estrada,Severino,,2:58,N,25566,1.24,--,
25,"Tuesday, May 2",boxscore,NYY,,TOR,W,11,5,,16-9,1,Tied,Tanaka,Latos,,3:31,N,30058,1.23,+,
26,"Wednesday, May 3",boxscore,NYY,,TOR,W,8,6,,17-9,1,up 1.0,Betances,Biagini,Chapman,3:39,N,35559,1.25,++,
27,"Friday, May 5",boxscore,NYY,@,CHC,W,3,2,,18-9,1,up 0.5,Holder,Rondón,Chapman,3:17,D,40395,1.19,+++,
28,"Saturday, May 6",boxscore,NYY,@,CHC,W,11,6,,19-9,1,up 0.5,Montgomery,Anderson,,3:19,N,40735,1.21,++++,
29,"Sunday, May 7",boxscore,NYY,@,CHC,W,5,4,18,20-9,1,up 0.5,Shreve,Strop,,6:05,N,40584,1.21,+++++,
30,"Monday, May 8",boxscore,NYY,@,CIN,W,10,4,,21-9,1,up 0.5,Tanaka,Davis,,3:28,N,25960,1.20,++++++,
31,"Tuesday, May 9",boxscore,NYY,@,CIN,L,3,5,,21-10,2,0.5,Adleman,Sabathia,Iglesias,2:49,N,22035,1.21,-,
32,"Thursday, May 11",boxscore,NYY,,HOU,L,2,3,,21-11,2,0.5,Keuchel,Pineda,Giles,3:09,N,39050,1.29,--,
33,"Friday, May 12",boxscore,NYY,,HOU,L,1,5,,21-12,2,0.5,McCullers,Montgomery,,3:09,N,41150,1.27,---,
34,"Sunday, May 14 (1)",boxscore,NYY,,HOU,W,11,6,,22-12,1,up 0.5,Warren,Harris,,3:20,D,41150,1.30,+,2017-05-13 (Rain)
35,"Sunday, May 14 (2)",boxscore,NYY,,HOU,L,7,10,,22-13,1,up 0.5,Morton,Tanaka,,3:49,N,47883,1.29,-,
36,"Tuesday, May 16",boxscore,NYY,@,KCR,W,7,1,,23-13,1,up 0.5,Sabathia,Hammel,,3:02,N,30878,1.27,+,
37,"Wednesday, May 17",boxscore,NYY,@,KCR,W,11,7,,24-13,1,up 1.5,Pineda,Vargas,Betances,3:23,N,22899,1.30,++,
38,"Thursday, May 18",boxscore,NYY,@,KCR,L,1,5,,24-14,1,up 1.5,Duffy,Montgomery,,2:34,N,22803,1.29,-,
39,"Friday, May 19",boxscore,NYY,@,TBR,L,4,5,,24-15,1,up 0.5,Farquhar,Clippard,Colomé,3:18,N,21146,1.45,--,
40,"Saturday, May 20",boxscore,NYY,@,TBR,L,5,9,,24-16,2,0.5,Andriese,Tanaka,,3:50,D,22864,1.46,---,
41,"Sunday, May 21",boxscore,NYY,@,TBR,W,3,2,,25-16,1,up 0.5,Sabathia,Archer,Betances,3:26,D,20873,1.44,+,
42,"Monday, May 22",boxscore,NYY,,KCR,W,4,2,,26-16,1,up 1.5,Pineda,Vargas,Betances,2:42,N,35005,1.30,++,
43,"Tuesday, May 23",boxscore,NYY,,KCR,L,2,6,,26-17,1,up 1.5,Duffy,Warren,,2:47,N,35931,1.31,-,
44,"Wednesday, May 24",boxscore,NYY,,KCR,W,3,0,,27-17,1,up 2.5,Severino,Hammel,Betances,2:40,N,34610,1.29,+,
45,"Friday, May 26",boxscore,NYY,,OAK,L,1,4,,27-18,1,up 2.0,Manaea,Tanaka,,3:09,N,39044,1.34,-,
46,"Saturday, May 27",boxscore,NYY,,OAK,W,3,2,,28-18,1,up 2.0,Sabathia,Cotton,Betances,3:14,D,40218,1.32,+,
47,"Sunday, May 28",boxscore,NYY,,OAK,W,9,5,,29-18,1,up 3.0,Pineda,Triggs,Warren,3:09,D,45232,1.34,++,
48,"Monday, May 29",boxscore,NYY,@,BAL,L,2,3,,29-19,1,up 3.0,Bundy,Montgomery,Brach,2:54,D,40242,1.54,-,
49,"Tuesday, May 30",boxscore,NYY,@,BAL,W,8,3,,30-19,1,up 3.0,Severino,Tillman,,3:19,N,16126,1.60,+,
50,"Wednesday, May 31",boxscore,NYY,@,BAL,L,4,10,,30-20,1,up 2.0,Gausman,Tanaka,,3:18,N,22983,1.56,-,
