Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 2",boxscore,TOR,,CLE,L,1,4,,0-1,3,1.0,Masterson,Dickey,Perez,2:31,N,48857,.94,-,
2,"Wednesday, Apr 3",boxscore,TOR,,CLE,L,2,3,11,0-2,4,2.0,Albers,Santos,Smith,3:23,N,24619,.89,--,
3,"Thursday, Apr 4",boxscore,TOR,,CLE,W,10,8,,1-2,3,1.0,Delabar,Myers,Janssen,2:49,N,19515,.87,+,
4,"Friday, Apr 5",boxscore,TOR,,BOS,L,4,6,,1-3,4,2.0,Tazawa,Rogers,Hanrahan,3:35,N,45328,1.05,-,
5,"Saturday, Apr 6",boxscore,TOR,,BOS,W,5,0,,2-3,4,1.0,Happ,Lackey,,2:38,D,45797,.96,+,
6,"Sunday, Apr 7",boxscore,TOR,,BOS,L,0,13,,2-4,4,2.0,Lester,Dickey,,2:44,D,41168,1.05,-,
7,"Tuesday, Apr 9",boxscore,TOR,@,DET,L,3,7,,2-5,5,3.0,Sánchez,Morrow,,2:55,D,28979,.83,--,
8,"Wednesday, Apr 10",boxscore,TOR,@,DET,W,8,6,,3-5,5,2.0,Loup,Villarreal,Janssen,3:36,D,29631,.80,+,
9,"Thursday, Apr 11",boxscore,TOR,@,DET,L,1,11,,3-6,5,2.0,Fister,Johnson,,3:00,D,28781,.87,-,
10,"Friday, Apr 12",boxscore,TOR,@,KCR,W,8,4,,4-6,5,1.5,Happ,Mendoza,Loup,2:56,N,13049,.79,+,
11,"Saturday, Apr 13",boxscore,TOR,@,KCR,W,3,2,,5-6,4,1.5,Dickey,Shields,Janssen,2:28,N,21960,.85,++,
12,"Sunday, Apr 14",boxscore,TOR,@,KCR,L-wo,2,3,,5-7,4,2.5,Herrera,Oliver,,2:37,D,29057,.92,-,
13,"Monday, Apr 15",boxscore,TOR,,CHW,W,4,3,,6-7,4,2.5,Buehrle,Floyd,Janssen,2:38,N,15755,.87,+,
14,"Tuesday, Apr 16",boxscore,TOR,,CHW,L,3,4,,6-8,4,3.5,Lindstrom,Delabar,Reed,2:42,N,16131,.90,-,
15,"Wednesday, Apr 17",boxscore,TOR,,CHW,L,0,7,,6-9,4,4.5,Quintana,Happ,,2:34,N,15684,.84,--,
16,"Thursday, Apr 18",boxscore,TOR,,CHW,W,3,1,,7-9,4,4.5,Dickey,Sale,Janssen,2:10,N,18015,.79,+,
17,"Friday, Apr 19",boxscore,TOR,,NYY,L,4,9,,7-10,4,5.0,Pettitte,Morrow,,2:37,N,40028,.93,-,
18,"Saturday, Apr 20",boxscore,TOR,,NYY,L,3,5,11,7-11,5,6.0,Kelley,Loup,Rivera,3:23,D,46095,.82,--,
19,"Sunday, Apr 21",boxscore,TOR,,NYY,W,8,4,,8-11,5,4.5,Cecil,Logan,,3:13,D,45575,.75,+,
20,"Monday, Apr 22",boxscore,TOR,@,BAL,L-wo,1,2,,8-12,5,5.5,Johnson,Loup,,2:54,N,11168,.86,-,
21,"Tuesday, Apr 23",boxscore,TOR,@,BAL,L,3,4,,8-13,5,5.5,González,Dickey,Johnson,2:29,N,13272,.79,--,
22,"Wednesday, Apr 24",boxscore,TOR,@,BAL,W,6,5,11,9-13,5,5.5,Rogers,Johnson,Janssen,3:25,D,14981,.73,+,
23,"Thursday, Apr 25",boxscore,TOR,@,NYY,L,3,5,,9-14,5,6.5,Kuroda,Buehrle,Rivera,2:46,N,31445,.80,-,
24,"Friday, Apr 26",boxscore,TOR,@,NYY,L,4,6,,9-15,5,7.5,Phelps,Lincoln,Rivera,3:23,N,36151,.73,--,
25,"Saturday, Apr 27",boxscore,TOR,@,NYY,L,4,5,,9-16,5,8.5,Sabathia,Rogers,Chamberlain,2:53,D,40258,.60,---,
26,"Sunday, Apr 28",boxscore,TOR,@,NYY,L,2,3,,9-17,5,9.5,Logan,Dickey,Rivera,2:29,D,36872,.58,----,
27,"Tuesday, Apr 30",boxscore,TOR,,BOS,W,9,7,,10-17,5,8.5,Delabar,Tazawa,Janssen,3:14,N,22915,.52,+,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
28,"Wednesday, May 1",boxscore,TOR,,BOS,L,1,10,,10-18,5,9.5,Buchholz,Buehrle,,2:52,N,21094,.56,-,
29,"Thursday, May 2",boxscore,TOR,,BOS,L,1,3,,10-19,5,10.5,Dempster,Happ,Hanrahan,3:22,N,25851,.51,--,
30,"Friday, May 3",boxscore,TOR,,SEA,L,0,4,,10-20,5,10.5,Hernández,Romero,,2:17,N,23779,.37,---,
31,"Saturday, May 4",boxscore,TOR,,SEA,L,1,8,,10-21,5,10.5,Iwakuma,Dickey,,2:28,D,35754,.32,----,
32,"Sunday, May 5",boxscore,TOR,,SEA,W,10,2,,11-21,5,9.5,Morrow,Saunders,,2:27,D,22937,.29,+,
