Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Monday, Apr 2",boxscore,TOR,@,DET,W,5,3,10,1-0,1,Tied,Frasor,Rodney,Ryan,3:15,D,44297,1.00,+,
2,"Wednesday, Apr 4",boxscore,TOR,@,DET,L,9,10,,1-1,2,0.5,Robertson,Burnett,Jones,3:32,D,24881,1.06,-,
3,"Friday, Apr 6",boxscore,TOR,@,TBD,L-wo,5,6,,1-2,3,1.0,Ryu,Ryan,,2:36,N,38437,1.12,--,
4,"Saturday, Apr 7",boxscore,TOR,@,TBD,W,8,5,,2-2,1,Tied,Marcum,Fossum,Ryan,3:11,N,18495,1.10,+,
5,"Sunday, Apr 8",boxscore,TOR,@,TBD,W,6,3,,3-2,1,up 0.5,Halladay,Kazmir,Janssen,2:32,D,12436,1.15,++,
6,"Monday, Apr 9",boxscore,TOR,,KCR,W,9,1,,4-2,1,up 1.0,Burnett,Perez,,3:08,N,50125,1.09,+++,
7,"Tuesday, Apr 10",boxscore,TOR,,KCR,L,3,6,,4-3,1,Tied,Greinke,Towers,Soria,2:36,N,22106,1.11,-,
8,"Wednesday, Apr 11",boxscore,TOR,,KCR,W,7,4,,5-3,1,up 1.0,Chacín,De La Rosa,Ryan,3:03,N,15218,1.05,+,
9,"Thursday, Apr 12",boxscore,TOR,,DET,L,4,5,,5-4,1,up 0.5,Maroth,Ohka,Zumaya,2:58,N,20416,1.13,-,
10,"Friday, Apr 13",boxscore,TOR,,DET,W-wo,2,1,10,6-4,1,up 0.5,Halladay,Rodney,,2:14,N,26268,1.08,+,
11,"Saturday, Apr 14",boxscore,TOR,,DET,L,7,10,,6-5,2,0.5,Ledezma,Ryan,Jones,3:28,D,28203,1.14,-,
12,"Sunday, Apr 15",boxscore,TOR,,DET,W,2,1,,7-5,1,Tied,Towers,Robertson,Marcum,2:08,D,25983,1.09,+,
13,"Tuesday, Apr 17",boxscore,TOR,,BOS,W,2,1,,8-5,1,up 0.5,Chacín,Matsuzaka,Frasor,2:38,N,42162,1.23,++,
14,"Wednesday, Apr 18",boxscore,TOR,,BOS,L,1,4,,8-6,2,0.5,Wakefield,Ohka,Papelbon,2:24,N,20188,1.29,-,
15,"Thursday, Apr 19",boxscore,TOR,,BOS,L,3,5,,8-7,3,1.5,Timlin,Marcum,Papelbon,2:54,D,33297,1.26,--,
16,"Friday, Apr 20",boxscore,TOR,@,BAL,L-wo,4,5,,8-8,4,2.5,Ray,Zambrano,,2:55,N,25025,1.15,---,
17,"Saturday, Apr 21",boxscore,TOR,@,BAL,L,2,5,,8-9,4,3.5,Loewen,Towers,Ray,2:36,N,25898,1.12,----,
