Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Tuesday, Apr 1",boxscore,NYY,@,HOU,L,2,6,,0-1,4,1.0,Feldman,Sabathia,,2:51,N,42117,.98,-,
2,"Wednesday, Apr 2",boxscore,NYY,@,HOU,L,1,3,,0-2,5,1.5,Cosart,Kuroda,Fields,3:18,N,23145,.89,--,
3,"Thursday, Apr 3",boxscore,NYY,@,HOU,W,4,2,,1-2,4,1.0,Nova,Oberholtzer,Robertson,3:17,N,26348,.90,+,
4,"Friday, Apr 4",boxscore,NYY,@,TOR,W,7,3,,2-2,2,0.5,Tanaka,McGowan,,3:26,N,48197,1.06,++,
5,"Saturday, Apr 5",boxscore,NYY,@,TOR,L,0,4,,2-3,3,1.5,Dickey,Pineda,Santos,2:45,D,45446,1.08,-,
6,"Sunday, Apr 6",boxscore,NYY,@,TOR,W,6,4,,3-3,2,0.5,Sabathia,Hutchison,Robertson,2:57,D,34067,1.08,+,
7,"Monday, Apr 7",boxscore,NYY,,BAL,W,4,2,,4-3,1,up 0.5,Kuroda,Jiménez,Kelley,3:05,D,48142,1.14,++,
8,"Tuesday, Apr 8",boxscore,NYY,,BAL,L,5,14,,4-4,2,0.5,Chen,Nova,,3:28,D,35864,1.21,-,
9,"Wednesday, Apr 9",boxscore,NYY,,BAL,L,4,5,,4-5,3,1.0,Matusz,Kelley,Hunter,3:06,N,39412,1.07,--,
10,"Thursday, Apr 10",boxscore,NYY,,BOS,W,4,1,,5-5,1,Tied,Pineda,Buchholz,Phelps,2:55,N,42821,1.09,+,
11,"Friday, Apr 11",boxscore,NYY,,BOS,L,2,4,,5-6,3,1.0,Lester,Sabathia,Mujica,3:01,N,44121,1.12,-,
12,"Saturday, Apr 12",boxscore,NYY,,BOS,W,7,4,,6-6,2,1.0,Kuroda,Lackey,Kelley,3:07,D,48572,1.02,+,
13,"Sunday, Apr 13",boxscore,NYY,,BOS,W,3,2,,7-6,1,Tied,Nova,Doubront,Kelley,3:08,N,46081,1.08,++,
14,"Wednesday, Apr 16 (1)",boxscore,NYY,,CHC,W,3,0,,8-6,1,up 0.5,Tanaka,Hammel,Kelley,2:41,D,36569,1.00,+++,2014-04-15 (Rain)
15,"Wednesday, Apr 16 (2)",boxscore,NYY,,CHC,W,2,0,,9-6,1,up 0.5,Pineda,Wood,Warren,3:08,N,40073,1.07,++++,
16,"Thursday, Apr 17",boxscore,NYY,@,TBR,W,10,2,,10-6,1,up 2.0,Sabathia,Price,,3:13,N,28085,1.21,+++++,
17,"Friday, Apr 18",boxscore,NYY,@,TBR,L,5,11,,10-7,1,up 1.0,McGee,Warren,,3:56,N,26079,1.28,-,
18,"Saturday, Apr 19",boxscore,NYY,@,TBR,L,1,16,,10-8,1,Tied,Archer,Nova,,3:15,N,30159,1.26,--,
19,"Sunday, Apr 20",boxscore,NYY,@,TBR,W,5,1,12,11-8,1,up 1.0,Claiborne,Bell,,4:23,D,26462,1.21,+,
20,"Tuesday, Apr 22",boxscore,NYY,@,BOS,W,9,3,,12-8,1,up 1.0,Tanaka,Lester,,3:17,N,37041,1.26,++,
21,"Wednesday, Apr 23",boxscore,NYY,@,BOS,L,1,5,,12-9,1,up 1.0,Lackey,Pineda,,3:12,N,37015,1.28,-,
22,"Thursday, Apr 24",boxscore,NYY,@,BOS,W,14,5,,13-9,1,up 1.5,Sabathia,Doubront,,3:51,N,37356,1.27,+,
23,"Friday, Apr 25",boxscore,NYY,,LAA,L,1,13,,13-10,1,up 1.5,Wilson,Kuroda,,3:30,N,38358,1.22,-,
24,"Saturday, Apr 26",boxscore,NYY,,LAA,W,4,3,,14-10,1,up 1.5,Betances,Santiago,Robertson,3:05,D,40908,1.15,+,
25,"Sunday, Apr 27",boxscore,NYY,,LAA,W,3,2,,15-10,1,up 2.5,Warren,Kohn,Robertson,3:28,N,40028,1.23,++,
26,"Tuesday, Apr 29",boxscore,NYY,,SEA,L,3,6,,15-11,1,up 2.0,Young,Sabathia,,3:33,N,37484,1.20,-,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
27,"Thursday, May 1",boxscore,NYY,,SEA,L,2,4,,15-12,1,up 0.5,Elías,Kuroda,Rodney,2:47,N,43121,1.20,--,
28,"Friday, May 2",boxscore,NYY,,TBR,L,5,10,14,15-13,2,0.5,Bell,Leroux,,5:49,N,33580,1.32,---,
29,"Saturday, May 3",boxscore,NYY,,TBR,W,9,3,,16-13,1,up 0.5,Tanaka,Lueke,,3:31,D,43325,1.25,+,
30,"Sunday, May 4",boxscore,NYY,,TBR,L,1,5,,16-14,1,up 0.5,Bédard,Sabathia,,3:14,D,41122,1.30,-,
31,"Monday, May 5",boxscore,NYY,@,LAA,L,1,4,,16-15,1,Tied,Weaver,Kelley,Frieri,3:09,N,39701,1.17,--,
32,"Tuesday, May 6",boxscore,NYY,@,LAA,W,4,3,,17-15,1,Tied,Kelley,Frieri,Robertson,2:57,N,40106,1.11,+,
33,"Wednesday, May 7",boxscore,NYY,@,LAA,W,9,2,,18-15,1,Tied,Nuño,Santiago,,3:01,N,44083,1.15,++,
34,"Friday, May 9",boxscore,NYY,@,MIL,W,5,3,,19-15,2,0.5,Tanaka,Gallardo,Robertson,3:02,N,40123,1.15,+++,
35,"Saturday, May 10",boxscore,NYY,@,MIL,L,4,5,,19-16,2,1.5,Duke,Aceves,Rodríguez,2:48,N,43085,1.12,-,
