Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 3",boxscore,NYY,,BOS,W,9,2,,1-0,1,up 0.5,Johnson,Wells,,3:19,N,54818,1.10,+,
2,"Tuesday, Apr 5",boxscore,NYY,,BOS,W-wo,4,3,,2-0,1,Tied,Rivera,Foulke,,3:16,D,54690,1.12,++,
3,"Wednesday, Apr 6",boxscore,NYY,,BOS,L,3,7,,2-1,1,Tied,Timlin,Rivera,,3:22,D,55165,1.15,-,
4,"Friday, Apr 8",boxscore,NYY,,BAL,L,5,12,,2-2,1,Tied,Ponson,Wright,,3:33,N,43128,1.17,--,
5,"Saturday, Apr 9",boxscore,NYY,,BAL,W,8,5,,3-2,1,Tied,Sturtze,Reed,Rivera,3:07,D,50275,1.08,+,
6,"Sunday, Apr 10",boxscore,NYY,,BAL,L,2,7,,3-3,2,1.0,Lopez,Pavano,,2:49,D,46797,1.14,-,
7,"Monday, Apr 11",boxscore,NYY,@,BOS,L,1,8,,3-4,4,2.0,Wakefield,Mussina,,2:49,D,33702,1.09,--,
8,"Wednesday, Apr 13",boxscore,NYY,@,BOS,W,5,2,,4-4,3,1.5,Wright,Schilling,Rivera,3:08,N,35115,1.02,+,
9,"Thursday, Apr 14",boxscore,NYY,@,BOS,L,5,8,,4-5,3,2.5,Foulke,Gordon,,3:13,N,35251,1.08,-,
10,"Friday, Apr 15",boxscore,NYY,@,BAL,L,1,8,,4-6,4,2.5,Chen,Pavano,,2:33,N,48061,1.05,--,
11,"Saturday, Apr 16",boxscore,NYY,@,BAL,L,6,7,,4-7,4,3.5,Kline,Gordon,Ryan,3:46,D,48598,1.02,---,
12,"Sunday, Apr 17",boxscore,NYY,@,BAL,L,4,8,,4-8,4,4.0,Cabrera,Brown,,2:47,D,47883,.92,----,
13,"Monday, Apr 18",boxscore,NYY,,TBD,W,19,8,,5-8,4,3.0,Wright,Bell,,3:09,N,35282,.82,+,
14,"Tuesday, Apr 19",boxscore,NYY,,TBD,L,2,6,,5-9,4,4.0,Nomo,Johnson,,2:37,N,45802,.87,-,
15,"Wednesday, Apr 20",boxscore,NYY,@,TOR,W,11,2,,6-9,4,3.0,Pavano,Lilly,,2:40,N,22838,.88,+,
16,"Thursday, Apr 21",boxscore,NYY,@,TOR,W,4,3,,7-9,4,3.0,Mussina,Chacín,Rivera,3:17,N,23178,1.00,++,
17,"Friday, Apr 22",boxscore,NYY,,TEX,L,3,5,,7-10,4,3.0,Young,Brown,Cordero,3:07,N,42710,.88,-,
18,"Saturday, Apr 23",boxscore,NYY,,TEX,L,2,10,,7-11,5,4.0,Park,Wright,,3:17,D,44731,.84,--,
19,"Sunday, Apr 24",boxscore,NYY,,TEX,W,11,1,,8-11,4,4.0,Johnson,Astacio,,2:25,D,42732,.77,+,
20,"Tuesday, Apr 26",boxscore,NYY,,LAA,W,12,4,,9-11,4,4.5,Pavano,Colón,,3:02,N,36328,.80,++,
21,"Wednesday, Apr 27",boxscore,NYY,,LAA,L,1,5,,9-12,4,5.0,Washburn,Mussina,,2:45,N,37934,.85,-,
22,"Thursday, Apr 28",boxscore,NYY,,LAA,L,1,3,,9-13,4,5.5,Lackey,Brown,Rodríguez,3:05,N,51951,.81,--,
23,"Friday, Apr 29",boxscore,NYY,,TOR,L,0,2,,9-14,4,6.5,Halladay,Johnson,,2:08,N,40839,.85,---,
24,"Saturday, Apr 30",boxscore,NYY,,TOR,W-wo,4,3,,10-14,4,6.5,Rivera,Chulk,,2:42,D,47483,.74,+,
Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
25,"Sunday, May 1",boxscore,NYY,,TOR,L,6,8,,10-15,4,7.5,Walker,Stanton,Batista,3:31,D,54224,.80,-,
26,"Monday, May 2",boxscore,NYY,@,TBD,W,6,2,,11-15,4,6.5,Mussina,Kazmir,,2:51,N,13217,.64,+,
27,"Tuesday, May 3",boxscore,NYY,@,TBD,L,4,11,,11-16,4,6.5,Waechter,Brown,,2:25,N,14824,.69,-,
28,"Wednesday, May 4",boxscore,NYY,@,TBD,L,8,11,,11-17,4,7.5,Fossum,Henn,Báez,3:14,N,16452,.65,--,
29,"Thursday, May 5",boxscore,NYY,@,TBD,L,2,6,,11-18,4,8.0,Hendrickson,Wang,,2:21,N,16662,.59,---,
30,"Friday, May 6",boxscore,NYY,,OAK,L,3,6,10,11-19,4,9.0,Dotel,Rivera,Calero,3:06,N,47973,.51,----,
31,"Saturday, May 7",boxscore,NYY,,OAK,W,5,0,,12-19,4,9.0,Mussina,Blanton,,2:31,D,52776,.43,+,
32,"Sunday, May 8",boxscore,NYY,,OAK,W,6,0,,13-19,4,8.0,Brown,Harden,,2:52,D,47575,.49,++,
33,"Monday, May 9",boxscore,NYY,,SEA,W,4,3,,14-19,4,8.0,Johnson,Nelson,Rivera,2:37,N,38079,.55,+++,
34,"Tuesday, May 10",boxscore,NYY,,SEA,W,7,4,,15-19,4,7.0,Wang,Sele,Rivera,3:00,N,39780,.57,++++,
35,"Wednesday, May 11",boxscore,NYY,,SEA,W,13,9,,16-19,4,7.0,Quantrill,Thornton,,3:26,D,47844,.60,+++++,
36,"Friday, May 13",boxscore,NYY,@,OAK,W,9,4,,17-19,4,5.5,Mussina,Harden,,3:05,N,38636,.66,++++++,
37,"Saturday, May 14",boxscore,NYY,@,OAK,W,15,6,,18-19,4,5.5,Brown,Blanton,,3:00,N,41180,.73,+++++++,
38,"Sunday, May 15",boxscore,NYY,@,OAK,W,6,4,,19-19,4,5.5,Johnson,Rincon,Rivera,2:56,D,37237,.81,++++++++,
39,"Monday, May 16",boxscore,NYY,@,SEA,W,6,3,,20-19,4,5.0,Wang,Hasegawa,Rivera,3:13,N,37814,.89,+++++++++,
40,"Tuesday, May 17",boxscore,NYY,@,SEA,W,6,0,,21-19,4,5.0,Pavano,Mateo,,2:36,N,35549,.96,++++++++++,
41,"Wednesday, May 18",boxscore,NYY,@,SEA,L,6,7,,21-20,4,6.0,Nelson,Gordon,Villone,3:21,N,37419,.97,-,
42,"Friday, May 20",boxscore,NYY,@,NYM,W,5,2,,22-20,3,4.5,Brown,Zambrano,Rivera,3:29,N,55740,.94,+,
43,"Saturday, May 21",boxscore,NYY,@,NYM,L,1,7,,22-21,4,5.5,Benson,Johnson,,2:56,D,55800,1.00,-,
44,"Sunday, May 22",boxscore,NYY,@,NYM,W,5,3,,23-21,3,4.5,Pavano,Hernández,Rivera,2:49,D,55953,.90,+,
45,"Tuesday, May 24",boxscore,NYY,,DET,W,12,3,,24-21,3,4.5,Mussina,Ledezma,,2:54,N,37099,1.05,++,
46,"Wednesday, May 25",boxscore,NYY,,DET,W,4,2,,25-21,3,4.5,Wang,Maroth,Rivera,2:46,N,51833,1.07,+++,
