Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 1",boxscore,TOR,,TEX,W,8,1,,1-0,1,up 0.5,Loaiza,Helling,,3:14,D,19891,.98,+,
2,"Tuesday, Apr 3",boxscore,TOR,@,TBD,L,1,8,,1-1,4,0.5,Lopez,Parris,,2:57,N,26678,1.13,-,
3,"Wednesday, Apr 4",boxscore,TOR,@,TBD,W,11,8,,2-1,2,0.5,Quantrill,Hill,Koch,3:07,N,10566,1.11,+,
4,"Thursday, Apr 5",boxscore,TOR,@,TBD,W,11,0,,3-1,2,0.5,Carpenter,Rekar,,2:30,D,10881,1.16,++,
5,"Friday, Apr 6",boxscore,TOR,@,NYY,W,13,4,,4-1,1,up 0.5,Loaiza,Parker,,2:56,N,29606,1.24,+++,
6,"Saturday, Apr 7",boxscore,TOR,@,NYY,W,3,2,,5-1,1,up 1.5,Michalak,Hernández,Koch,3:36,D,30487,1.25,++++,
7,"Sunday, Apr 8",boxscore,TOR,@,NYY,L,5,16,,5-2,1,up 0.5,Clemens,Parris,,3:32,D,31970,1.29,-,
8,"Monday, Apr 9",boxscore,TOR,,TBD,W,8,1,,6-2,1,up 0.5,Hamilton,Wilson,,2:29,N,48115,1.24,+,
9,"Tuesday, Apr 10",boxscore,TOR,,TBD,W-wo,3,2,10,7-2,1,up 0.5,Quantrill,Sturtze,,2:20,N,18071,1.23,++,
10,"Wednesday, Apr 11",boxscore,TOR,,TBD,L,3,4,,7-3,2,0.5,Yan,Koch,,2:46,N,24017,1.25,-,
11,"Friday, Apr 13",boxscore,TOR,,KCR,W,2,1,,8-3,1,up 0.5,Michalak,Suppan,Koch,2:47,D,26148,1.15,+,
12,"Saturday, Apr 14",boxscore,TOR,,KCR,W-wo,5,4,,9-3,1,up 0.5,File,Hernández,,2:47,D,26024,1.18,++,
