Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Sunday, Apr 4",boxscore,BOS,,NYY,W,9,7,,1-0,1,up 0.5,Okajima,Park,Papelbon,3:46,N,37440,1.08,+,
2,"Tuesday, Apr 6",boxscore,BOS,,NYY,L,4,6,,1-1,2,0.5,Aceves,Okajima,Rivera,3:48,N,38000,1.17,-,
3,"Wednesday, Apr 7",boxscore,BOS,,NYY,L,1,3,10,1-2,4,1.5,Park,Papelbon,Rivera,3:21,N,38238,1.14,--,
4,"Friday, Apr 9",boxscore,BOS,@,KCR,L,3,4,,1-3,4,2.0,Parrish,Bard,Soria,2:46,N,21091,.96,---,
5,"Saturday, Apr 10",boxscore,BOS,@,KCR,W,8,3,,2-3,4,2.0,Beckett,Greinke,,2:47,N,37505,.89,+,
6,"Sunday, Apr 11",boxscore,BOS,@,KCR,W,8,6,,3-3,3,2.0,Buchholz,Meche,Papelbon,3:28,D,19240,.95,++,
7,"Monday, Apr 12",boxscore,BOS,@,MIN,L,2,5,,3-4,4,2.0,Pavano,Lester,Rauch,2:59,D,38145,1.05,-,
8,"Wednesday, Apr 14",boxscore,BOS,@,MIN,W,6,3,,4-4,4,1.5,Lackey,Slowey,Papelbon,3:24,D,38164,.96,+,
9,"Thursday, Apr 15",boxscore,BOS,@,MIN,L,0,8,,4-5,4,2.5,Liriano,Wakefield,,2:38,D,38341,.99,-,
10,"Friday, Apr 16",boxscore,BOS,,TBR,L,1,3,12,4-6,4,3.0,Cormier,Delcarmen,Soriano,4:18,N,37084,1.13,--,
11,"Saturday, Apr 17",boxscore,BOS,,TBR,L,5,6,,4-7,4,4.0,Shields,Buchholz,Soriano,3:19,N,37022,.99,---,
12,"Sunday, Apr 18",boxscore,BOS,,TBR,L,1,7,,4-8,4,5.0,Garza,Lester,,3:05,D,37143,.94,----,
13,"Monday, Apr 19",boxscore,BOS,,TBR,L,2,8,,4-9,4,6.0,Niemann,Lackey,,2:49,D,37609,.86,-----,
14,"Tuesday, Apr 20",boxscore,BOS,,TEX,W-wo,7,6,,5-9,4,5.5,Papelbon,Francisco,,3:46,N,37614,.74,+,
15,"Wednesday, Apr 21",boxscore,BOS,,TEX,W-wo,8,7,12,6-9,4,5.5,Okajima,Nippert,,3:49,N,37518,.73,++,
16,"Thursday, Apr 22",boxscore,BOS,,TEX,L,0,3,,6-10,4,6.0,Wilson,Buchholz,Oliver,2:58,N,37417,.78,-,
