Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,"Thursday, Mar 30",boxscore,TOR,@,STL,W,10,9,,1-0,1,Tied,García,Helsley,Romano,3:38,D,47649,.87,+,
Gm#,April,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
2,"Saturday, Apr 1",boxscore,TOR,@,STL,L,1,4,,1-1,2,1.0,Flaherty,Gausman,Helsley,2:31,D,44461,.93,-,
3,"Sunday, Apr 2",boxscore,TOR,@,STL,L,4,9,,1-2,4,2.0,Montgomery,Bassitt,,2:29,D,45525,.88,--,
4,"Monday, Apr 3",boxscore,TOR,@,KCR,L,5,9,,1-3,5,3.0,Singer,Berríos,,2:37,N,10810,.89,---,
5,"Tuesday, Apr 4",boxscore,TOR,@,KCR,W,4,1,,2-3,4,3.0,Kikuchi,Bubic,Romano,2:32,N,12123,.85,+,
6,"Wednesday, Apr 5",boxscore,TOR,@,KCR,W,3,0,,3-3,3,3.0,Manoah,Greinke,Romano,2:17,N,10015,.88,++,
7,"Thursday, Apr 6",boxscore,TOR,@,KCR,W,6,3,,4-3,3,2.5,Gausman,Lyles,Cimber,2:30,D,10401,.92,+++,
8,"Friday, Apr 7",boxscore,TOR,@,LAA,W,4,3,,5-3,2,2.5,Bassitt,Herget,Romano,2:33,N,44735,.99,++++,
9,"Saturday, Apr 8",boxscore,TOR,@,LAA,L,5,9,,5-4,3,3.5,Barría,Berríos,,2:40,N,44534,1.02,-,
10,"Sunday, Apr 9",boxscore,TOR,@,LAA,W,12,11,10,6-4,3,3.5,Romano,Estévez,Mayza,3:31,D,31092,1.01,+,
11,"Tuesday, Apr 11",boxscore,TOR,,DET,W,9,3,,7-4,2,4.0,Pop,Manning,,2:29,N,42053,1.00,++,
12,"Wednesday, Apr 12",boxscore,TOR,,DET,W-wo,4,3,10,8-4,2,4.0,Romano,Shreve,,2:40,N,35300,.99,+++,
13,"Thursday, Apr 13",boxscore,TOR,,DET,L,1,3,,8-5,2,5.0,Turnbull,Bassitt,Lange,2:53,N,26192,1.03,-,
