Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Baltimore Orioles,0.257,0.321,0.418,0.739,0.299,2.9%,20.3%,7.9%,89.1,39.0%,24.7%,45.6%,20.5%,0.86,3.7,0.8%,7.0
Boston Red Sox,0.264,0.327,0.424,0.751,0.307,2.9%,19.6%,7.7%,88.3,37.4%,25.2%,44.3%,22.3%,0.82,0.4,-0.3%,-28.7
Chicago White Sox,0.26,0.322,0.41,0.733,0.314,2.6%,22.0%,7.7%,87.9,37.1%,26.8%,44.8%,19.7%,0.84,3.4,-0.1%,-9.0
Cleveland Indians,0.237,0.297,0.386,0.683,0.29,2.7%,23.8%,7.2%,88.9,38.5%,26.4%,44.7%,21.2%,0.83,7.1,0.3%,76.8
Detroit Tigers,0.268,0.33,0.444,0.774,0.301,3.1%,17.8%,7.9%,89.0,39.1%,24.7%,43.0%,22.1%,0.78,-5.3,-0.5%,-105.0
Houston Astros,0.241,0.299,0.382,0.681,0.287,2.5%,21.5%,7.1%,87.5,34.3%,25.1%,47.2%,19.9%,0.92,3.8,1.1%,68.4
Kansas City Royals,0.249,0.314,0.396,0.71,0.288,2.5%,19.0%,8.0%,88.5,38.3%,25.3%,42.7%,23.1%,0.77,9.3,7.0%,76.3
Los Angeles Angels of Anaheim,0.248,0.313,0.396,0.708,0.288,2.7%,20.0%,7.6%,88.4,37.1%,26.6%,41.5%,21.6%,0.73,4.6,1.3%,2.3
Minnesota Twins,0.269,0.321,0.418,0.739,0.303,2.7%,17.0%,6.7%,89.0,40.6%,25.8%,44.1%,21.3%,0.82,3.6,1.6%,0.7
New York Yankees,0.253,0.316,0.406,0.722,0.303,2.9%,22.1%,7.7%,88.6,39.1%,25.0%,47.2%,20.0%,0.92,7.7,6.6%,13.2
Oakland Athletics,0.254,0.316,0.4,0.716,0.291,2.8%,19.2%,7.7%,88.8,39.3%,27.1%,44.7%,18.6%,0.83,-7.8,-1.9%,-45.0
Seattle Mariners,0.256,0.322,0.412,0.734,0.3,2.9%,20.6%,7.9%,88.9,39.1%,25.6%,46.2%,19.8%,0.89,-0.6,-0.4%,-39.1
Tampa Bay Rays,0.24,0.304,0.385,0.689,0.286,2.9%,22.3%,7.9%,89.4,40.7%,24.8%,42.0%,24.0%,0.74,5.3,4.3%,47.4
Texas Rangers,0.262,0.328,0.419,0.747,0.296,2.8%,17.6%,8.2%,88.9,39.0%,29.0%,44.6%,18.8%,0.82,3.4,5.5%,-20.1
Toronto Blue Jays,0.248,0.304,0.403,0.707,0.28,2.9%,18.7%,6.6%,88.4,37.4%,25.8%,44.1%,21.0%,0.81,0.0,3.3%,38.8
League Average,0.254,0.316,0.407,0.722,0.296,2.8%,20.1%,7.6%,88.6,38.4%,25.9%,44.4%,20.9%,0.82,,,
,0.254,0.316,0.407,0.722,0.296,2.8%,20.1%,7.6%,88.6,38.4%,25.9%,44.4%,20.9%,0.82,,,
