Unnamed: 0_level_0,Batting Against,Batting Against,Batting Against,Batting Against,Batting Against,Pitching Ratios,Pitching Ratios,Pitching Ratios,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Batted Ball,Win Probability,Win Probability,Win Probability
Tm,BA,OBP,SLG,OPS,BAbip,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,WPA,cWPA,RE24
Arizona Diamondbacks,0.258,0.322,0.423,0.744,0.297,2.9%,19.4%,8.0%,89.5,41.3%,28.2%,45.3%,18.4%,0.87,0.0,-1.5%,-14.6
Atlanta Braves,0.268,0.339,0.426,0.765,0.309,2.8%,18.7%,8.9%,89.0,39.7%,26.6%,42.9%,21.8%,0.78,-7.1,-1.2%,-110.7
Chicago Cubs,0.233,0.29,0.372,0.662,0.29,2.2%,23.9%,6.8%,88.3,36.3%,26.9%,46.4%,18.6%,0.9,11.0,4.6%,62.4
Cincinnati Reds,0.258,0.328,0.42,0.748,0.301,2.8%,20.0%,8.7%,88.3,38.3%,29.8%,43.8%,17.9%,0.82,-5.9,-0.2%,-84.2
Colorado Rockies,0.283,0.353,0.461,0.814,0.323,2.9%,17.6%,9.2%,88.8,40.2%,28.2%,47.4%,16.8%,0.94,-15.1,-3.4%,-130.0
Los Angeles Dodgers,0.242,0.297,0.372,0.669,0.299,2.4%,23.5%,6.7%,87.5,34.5%,25.6%,49.8%,16.6%,1.04,7.8,6.9%,57.7
Miami Marlins,0.255,0.322,0.396,0.718,0.297,2.3%,19.0%,8.4%,88.8,38.7%,27.2%,44.4%,19.8%,0.83,-6.3,-2.1%,-29.9
Milwaukee Brewers,0.261,0.329,0.422,0.75,0.307,2.9%,20.5%,8.4%,88.1,37.8%,28.8%,46.0%,17.3%,0.89,-6.2,-1.5%,-70.3
New York Mets,0.243,0.296,0.377,0.672,0.292,2.5%,22.1%,6.3%,87.9,35.1%,24.7%,45.8%,20.9%,0.89,8.8,7.4%,53.3
Philadelphia Phillies,0.28,0.341,0.445,0.786,0.319,3.0%,18.2%,7.7%,89.2,39.9%,28.4%,44.0%,19.1%,0.82,-11.7,-1.4%,-154.6
Pittsburgh Pirates,0.248,0.311,0.361,0.672,0.305,1.8%,21.5%,7.3%,88.1,38.2%,25.8%,50.3%,17.0%,1.06,15.3,8.2%,91.5
San Diego Padres,0.252,0.321,0.414,0.735,0.307,2.8%,22.9%,8.5%,88.7,38.8%,27.2%,46.8%,18.2%,0.91,-3.3,-1.1%,-76.6
San Francisco Giants,0.246,0.305,0.395,0.7,0.285,2.6%,19.4%,7.2%,88.8,38.9%,26.9%,45.8%,19.1%,0.87,3.5,2.7%,42.4
St. Louis Cardinals,0.246,0.31,0.366,0.676,0.302,2.0%,21.7%,7.8%,88.0,37.1%,24.6%,47.3%,19.1%,0.95,20.7,12.6%,157.0
Washington Nationals,0.25,0.301,0.384,0.685,0.304,2.4%,22.5%,6.1%,87.8,37.1%,28.2%,44.5%,17.7%,0.84,1.5,-0.2%,35.8
League Average,0.255,0.318,0.402,0.72,0.303,2.6%,20.7%,7.7%,88.5,38.2%,27.2%,46.0%,18.6%,0.89,,,
,0.255,0.318,0.402,0.72,0.303,2.6%,20.7%,7.7%,88.5,38.2%,27.2%,46.0%,18.6%,0.89,,,
